dataset,period_id,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,ge_max_zone_rate,exact_fee_cents,honest_paid_fee_cents,moving_honest_paid_fee_cents,strategic_min_fee_cents,honest_penalty,honest_penalty_moving_only,withholding_gain,n_intervals,n_honest_outage_intervals,n_moving_honest_outage_intervals,n_strategic_declared_intervals,honest_outage_source,honest_outage_actual_distance_m,honest_outage_charged_distance_m,honest_outage_movement_ratio,honest_outage_dwell_edge_share,moving_outage_actual_distance_m,moving_outage_charged_distance_m,moving_outage_movement_ratio,moving_outage_dwell_edge_share,speed_bound_ok,honest_min_speed_bound_slack_m,strategic_min_speed_bound_slack_m
rome,rome:60:11-0-s11:p2,1,12,False,2840,14119,12040,2840,3.9714788732394366,3.23943661971831,0.0,24,6,5,0,derived_from_native_gap_count,103,12309,0.008367860914777805,0.16666666666666666,103,10230,0.010068426197458456,0.0,True,1981,
rome,rome:60:11-0-s136:p0,1,12,False,5740,25620,11278,4369,3.4634146341463414,0.964808362369338,0.23885017421602786,24,10,3,1,derived_from_native_gap_count,124,21120,0.005871212121212121,0.7,93,6468,0.01437847866419295,0.0,True,1966,1437
rome,rome:60:11-0-s186:p0,1,12,False,5680,26534,22165,5430,3.671478873239437,2.902288732394366,0.04401408450704225,24,10,8,1,derived_from_native_gap_count,185,22704,0.008148343904157857,0.2,183,18315,0.009991809991809993,0.0,True,2005,1757
rome,rome:60:11-0-s84:p0,1,12,False,3060,8885,6872,3060,1.90359477124183,1.2457516339869281,0.0,24,3,2,0,derived_from_native_gap_count,28,6105,0.004586404586404586,0.3333333333333333,28,4092,0.006842619745845552,0.0,True,1997,
rome,rome:60:124-1-s99:p0,1,12,False,1540,24964,8103,1540,15.21038961038961,4.261688311688312,0.0,24,11,3,0,derived_from_native_gap_count,60,24024,0.0024975024975024975,0.7272727272727273,40,6963,0.0057446502944133275,0.0,True,2013,
rome,rome:60:127-0-s273:p0,1,12,False,15504,19494,15504,7992,0.25735294117647056,,0.4845201238390093,24,2,0,3,derived_from_native_gap_count,3,4026,0.0007451564828614009,1.0,,,,,True,2010,1319
rome,rome:60:128-0-s16:p0,1,12,False,690,10916,690,690,14.820289855072463,,0.0,24,5,0,0,derived_from_native_gap_count,7,10296,0.0006798756798756799,1.0,,,,,True,2007,
rome,rome:60:128-0-s16:p1,1,12,False,1520,11215,5186,1520,6.378289473684211,2.411842105263158,0.0,24,5,2,0,derived_from_native_gap_count,37,10065,0.0036761053154495777,0.6,36,4026,0.00894187779433681,0.0,True,1989,
rome,rome:60:128-0-s65:p0,1,12,False,1704,10917,5046,1704,5.40669014084507,1.9612676056338028,0.0,24,5,2,0,derived_from_native_gap_count,71,10065,0.007054148037754595,0.6,57,4026,0.014157973174366617,0.0,True,1981,
rome,rome:60:128-0-s82:p0,1,12,False,21024,27726,23715,14010,0.3187785388127854,0.12799657534246575,0.3336187214611872,24,5,3,5,derived_from_native_gap_count,283,10098,0.02802535155476332,0.4,279,6039,0.046199701937406856,0.0,True,1876,1573
rome,rome:60:128-0-s82:p1,1,12,False,2592,13995,7983,2592,4.399305555555555,2.079861111111111,0.0,24,6,3,0,derived_from_native_gap_count,59,12111,0.004871604326645199,0.5,54,6039,0.00894187779433681,0.0,True,1985,
rome,rome:60:128-0-s82:p2,1,12,False,612,6651,612,612,9.867647058823529,,0.0,24,3,0,0,derived_from_native_gap_count,0,6039,0.0,1.0,,,,,True,2013,
rome,rome:60:134-0-s99:p0,1,12,False,1908,13467,3525,1908,6.0581761006289305,0.8474842767295597,0.0,24,6,1,0,derived_from_native_gap_count,46,12111,0.003798199983486087,0.8333333333333334,33,2013,0.01639344262295082,0.0,True,1980,
rome,rome:60:137-0-s71:p0,1,12,False,10974,26671,20712,7077,1.4303809003098231,0.8873701476216512,0.35511208310552217,24,9,6,1,derived_from_native_gap_count,242,18117,0.013357619914996965,0.3333333333333333,234,12078,0.019374068554396422,0.0,True,1877,1460
rome,rome:60:137-0-s71:p1,1,12,False,1330,17057,5046,1330,11.824812030075188,2.793984962406015,0.0,24,8,2,0,derived_from_native_gap_count,41,16137,0.0025407448720332158,0.75,31,4026,0.007699950322901143,0.0,True,1993,
rome,rome:60:137-0-s71:p2,1,12,False,2580,12335,4393,2580,3.7810077519379846,0.7027131782945737,0.0,24,5,1,0,derived_from_native_gap_count,31,10065,0.003079980129160457,0.8,20,2013,0.009935419771485345,0.0,True,1993,
rome,rome:60:140-0-s121:p0,1,12,False,2364,23664,8841,2364,9.01015228426396,2.739847715736041,0.0,24,11,4,0,derived_from_native_gap_count,139,22968,0.006051898293277604,0.6363636363636364,134,8085,0.016573902288188003,0.0,True,1926,
rome,rome:60:140-0-s121:p1,1,12,False,768,20946,768,768,26.2734375,,0.0,24,10,0,0,derived_from_native_gap_count,7,20262,0.00034547428684236504,1.0,,,,,True,2006,
rome,rome:60:149-0-s182:p0,1,12,False,9940,21196,12917,7567,1.1323943661971831,0.2994969818913481,0.23873239436619717,24,6,2,2,derived_from_native_gap_count,135,12606,0.010709186101856259,0.6666666666666666,128,4257,0.030068123091378907,0.0,True,1899,1627
rome,rome:60:149-0-s21:p0,1,12,False,1300,19879,1300,1300,14.291538461538462,,0.0,24,9,0,0,derived_from_native_gap_count,0,18579,0.0,1.0,,,,,True,2046,
rome,rome:60:149-0-s21:p1,1,12,False,110,20636,110,110,186.6,,0.0,24,10,0,0,derived_from_native_gap_count,0,20526,0.0,1.0,,,,,True,2013,
rome,rome:60:149-0-s21:p2,1,12,False,160,16561,160,160,102.50625,,0.0,24,8,0,0,derived_from_native_gap_count,0,16401,0.0,1.0,,,,,True,2013,
rome,rome:60:149-0-s21:p3,1,12,False,750,18907,750,750,24.209333333333333,,0.0,24,9,0,0,derived_from_native_gap_count,29,18447,0.0015720713395132,1.0,,,,,True,2005,
rome,rome:60:150-0-s108:p0,1,12,False,2380,20686,4263,2380,7.691596638655462,0.7911764705882353,0.0,24,9,1,0,derived_from_native_gap_count,24,18546,0.0012940795858945326,0.8888888888888888,13,2013,0.006458022851465474,0.0,True,2000,
rome,rome:60:153-0-s12:p0,1,12,False,912,10893,912,912,10.944078947368421,,0.0,24,5,0,0,derived_from_native_gap_count,7,10065,0.0006954793840039742,1.0,,,,,True,2006,
rome,rome:60:153-0-s12:p1,1,12,False,1200,15324,1200,1200,11.77,,0.0,24,7,0,0,derived_from_native_gap_count,0,14124,0.0,1.0,,,,,True,2013,
rome,rome:60:153-0-s15:p0,1,12,False,1476,11541,1476,1476,6.819105691056911,,0.0,24,5,0,0,derived_from_native_gap_count,11,10197,0.0010787486515641855,1.0,,,,,True,2005,
rome,rome:60:153-0-s15:p1,1,12,False,4128,20541,14550,4128,3.9760174418604652,2.5247093023255816,0.0,24,9,6,0,derived_from_native_gap_count,142,18117,0.007837942264171772,0.3333333333333333,138,12078,0.011425732737208148,0.0,True,1981,
rome,rome:60:153-0-s15:p2,1,12,False,8028,22653,18783,8028,1.8217488789237668,1.3396860986547086,0.0,24,9,7,0,derived_from_native_gap_count,291,18117,0.016062261963901307,0.2222222222222222,278,14091,0.019728904974806616,0.0,True,1929,
rome,rome:60:153-0-s214:p0,1,12,False,7060,12912,10866,5670,0.8288951841359773,0.5390934844192634,0.19688385269121814,24,3,2,1,derived_from_native_gap_count,22,6072,0.0036231884057971015,0.3333333333333333,22,4026,0.00546448087431694,0.0,True,2002,1643
rome,rome:60:155-0-s239:p0,1,12,False,2360,19807,9820,2360,7.3927966101694915,3.1610169491525424,0.0,24,9,4,0,derived_from_native_gap_count,100,18447,0.005420935653493793,0.5555555555555556,79,8250,0.009575757575757576,0.0,True,1997,
rome,rome:60:155-0-s253:p0,1,12,False,4740,20750,8486,3707,3.3776371308016877,0.7902953586497891,0.21793248945147678,24,8,2,1,derived_from_native_gap_count,49,16500,0.00296969696969697,0.75,28,4026,0.006954793840039742,0.0,True,1998,1649
rome,rome:60:155-0-s266:p0,1,12,False,5140,25212,8695,3954,3.9050583657587548,0.6916342412451362,0.23073929961089495,24,10,2,1,derived_from_native_gap_count,85,20922,0.004062709110027722,0.8,57,4125,0.013818181818181818,0.0,True,2008,1604
rome,rome:60:156-0-s76:p0,1,12,False,18972,31002,18972,8220,0.6340923466160657,,0.5667299177735611,24,6,0,3,derived_from_native_gap_count,4,12078,0.0003311806590495115,1.0,,,,,True,2011,1403
rome,rome:60:157-0-s98:p0,1,12,False,1896,24171,5319,1896,11.748417721518987,1.8053797468354431,0.0,24,11,2,0,derived_from_native_gap_count,66,23067,0.002861230329041488,0.8181818181818182,53,4059,0.013057403301305741,0.0,True,1980,
rome,rome:60:162-0-s40:p0,1,12,False,13124,20615,18503,7251,0.5707863456263335,0.4098597988418165,0.44750076196281624,24,4,3,2,derived_from_native_gap_count,55,8151,0.006747638326585695,0.25,55,6039,0.009107468123861567,0.0,True,1989,1441
rome,rome:60:162-0-s40:p1,1,12,False,3840,17481,13272,3840,3.55234375,2.45625,0.0,24,7,5,0,derived_from_native_gap_count,142,15345,0.009253828608667318,0.2857142857142857,127,10956,0.011591821832785688,0.0,True,1985,
rome,rome:60:163-0-s105:p0,1,12,False,11076,18657,12801,5532,0.6844528710725893,0.1557421451787649,0.5005417118093174,24,4,1,1,derived_from_native_gap_count,42,8085,0.005194805194805195,0.75,24,2013,0.011922503725782414,0.0,True,1989,1353
rome,rome:60:167-0-s26:p0,1,12,False,7368,18702,12663,6312,1.538273615635179,0.7186482084690554,0.14332247557003258,24,6,3,1,derived_from_native_gap_count,62,12078,0.005133300215267428,0.5,62,6039,0.010266600430534857,0.0,True,1988,1727
rome,rome:60:167-0-s73:p0,1,12,False,4632,16194,8142,4632,2.4961139896373057,0.7577720207253886,0.0,24,6,2,0,derived_from_native_gap_count,43,12078,0.0035601920847822487,0.6666666666666666,43,4026,0.010680576254346746,0.0,True,1985,
rome,rome:60:172-0-s6:p0,1,12,False,200,13169,200,200,64.845,,0.0,24,6,0,0,derived_from_native_gap_count,0,12969,0.0,1.0,,,,,True,2013,
rome,rome:60:178-0-s37:p0,1,12,False,768,13044,768,768,15.984375,,0.0,24,6,0,0,derived_from_native_gap_count,0,12276,0.0,1.0,,,,,True,2013,
rome,rome:60:178-1-s43:p0,1,12,False,13040,22451,16451,12310,0.72170245398773,0.261579754601227,0.05598159509202454,24,5,2,1,derived_from_native_gap_count,60,10131,0.005922416345869114,0.6,54,4059,0.013303769401330377,0.0,True,1990,1709
rome,rome:60:185-0-s124:p0,1,12,False,880,4700,2654,880,4.340909090909091,2.015909090909091,0.0,24,2,1,0,derived_from_native_gap_count,47,4290,0.010955710955710955,0.5,47,2244,0.02094474153297683,0.0,True,2046,
rome,rome:60:185-0-s150:p0,1,12,False,12626,20498,14423,7033,0.6234753682876604,0.14232536036749566,0.44297481387612864,24,4,1,2,derived_from_native_gap_count,37,8316,0.004449254449254449,0.75,18,2013,0.00894187779433681,0.0,True,1995,1019
rome,rome:60:193-0-s204:p0,1,12,False,80,6119,80,80,75.4875,,0.0,24,3,0,0,derived_from_native_gap_count,0,6039,0.0,1.0,,,,,True,2013,
rome,rome:60:213-0-s41:p0,1,12,False,4608,18459,4608,3657,3.005859375,,0.20638020833333334,24,7,0,1,derived_from_native_gap_count,20,14091,0.0014193456816407636,1.0,,,,,True,2004,1645
rome,rome:60:213-0-s41:p1,1,12,False,3024,14322,8523,3024,3.736111111111111,1.818452380952381,0.0,24,6,3,0,derived_from_native_gap_count,65,12078,0.0053816857095545624,0.5,45,6039,0.007451564828614009,0.0,True,1995,
rome,rome:60:213-0-s66:p0,1,12,False,8904,19218,8904,2829,1.158355795148248,,0.682277628032345,24,5,0,1,derived_from_native_gap_count,4,10362,0.0003860258637328701,1.0,,,,,True,2011,976
rome,rome:60:214-0-s203:p0,1,12,False,10332,20352,11976,5232,0.9698025551684089,0.15911730545876887,0.49361207897793263,24,5,1,1,derived_from_native_gap_count,67,10824,0.006189948263118995,0.8,61,2376,0.025673400673400674,0.0,True,2007,1390
rome,rome:60:214-0-s203:p1,1,12,False,7512,23703,7512,5787,2.1553514376996805,,0.22963258785942492,24,8,0,2,derived_from_native_gap_count,1,16203,6.171696599395174e-05,1.0,,,,,True,2012,1712
rome,rome:60:214-0-s220:p0,1,12,False,10464,14490,10464,5280,0.38474770642201833,,0.4954128440366973,24,2,0,2,derived_from_native_gap_count,0,4026,0.0,1.0,,,,,True,2013,1429
rome,rome:60:229-0-s172:p0,1,12,False,8304,26392,22403,7629,2.178227360308285,1.6978564547206165,0.08128612716763006,24,10,8,1,derived_from_native_gap_count,343,21846,0.015700814794470382,0.2,336,17787,0.018890200708382526,0.0,True,1987,1668
rome,rome:60:234-0-s260:p0,1,12,False,9876,22690,18744,5421,1.2974888618874039,0.8979343863912516,0.45109356014580804,24,7,5,1,derived_from_native_gap_count,131,14124,0.009274992919852733,0.2857142857142857,123,10098,0.01218062982768865,0.0,True,1980,1353
rome,rome:60:24-0-s158:p0,1,12,False,1932,21714,5598,1932,10.23913043478261,1.8975155279503106,0.0,24,10,2,0,derived_from_native_gap_count,51,20394,0.0025007355104442485,0.8,30,4026,0.007451564828614009,0.0,True,1994,
rome,rome:60:24-0-s158:p1,1,12,False,4044,25215,16488,4044,5.235163204747774,3.077151335311573,0.0,24,10,6,0,derived_from_native_gap_count,136,22803,0.00596412752707977,0.4,118,13860,0.008513708513708513,0.0,True,1989,
rome,rome:60:24-0-s158:p2,1,12,False,1596,23535,5775,1596,13.746240601503759,2.6184210526315788,0.0,24,10,2,0,derived_from_native_gap_count,61,22671,0.0026906620793083675,0.8,34,4587,0.007412252016568564,0.0,True,2012,
rome,rome:60:24-0-s158:p3,1,12,False,4128,17013,10833,4128,3.1213662790697674,1.6242732558139534,0.0,24,7,4,0,derived_from_native_gap_count,117,14289,0.008188116733151375,0.42857142857142855,115,8085,0.01422387136672851,0.0,True,1977,
