penalty_scope,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
all_outages,1,176,162,80.0,576.0,4782.0,8.476409571225112,3.131989957716702,33.99291743970315,0.14023109500212042,0.0,0.49414922501994313,0.0046031873900726356,0.6338096574207686,True
all_outages,2,176,162,80.0,576.0,4782.0,17.153675478826184,6.521066793289016,68.31960111317252,0.0425786598929428,0.0,0.2612909282377474,0.0046031873900726356,0.6338096574207686,True
all_outages,3,176,162,80.0,576.0,4782.0,25.830941386427252,9.84371297426853,102.64628478664193,0.011044700414537412,0.0,0.07260157162778427,0.0046031873900726356,0.6338096574207686,True
all_outages,4,176,162,80.0,576.0,4782.0,34.508207294028324,13.166359155248044,136.9729684601113,0.001012574176191392,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,5,176,162,80.0,576.0,4782.0,43.1854732016294,16.489005336227557,171.29965213358068,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,6,176,162,80.0,576.0,4782.0,51.86273910923046,19.811651517207075,205.62633580705008,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,7,176,162,80.0,576.0,4782.0,60.54000501683154,23.134297698186586,239.9530194805195,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,8,176,162,80.0,576.0,4782.0,69.21727092443261,26.4569438791661,274.27970315398886,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,9,176,162,80.0,576.0,4782.0,77.89453683203368,29.779590060145615,308.6063868274582,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,10,176,162,80.0,576.0,4782.0,86.57180273963475,33.10223624112513,342.9330705009276,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,11,176,162,80.0,576.0,4782.0,95.24906864723582,36.424882422104645,377.259754174397,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,12,176,162,80.0,576.0,4782.0,103.92633455483688,39.74752860308416,411.58643784786636,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,13,176,162,80.0,576.0,4782.0,112.60360046243795,43.07017478406367,445.9131215213358,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,14,176,162,80.0,576.0,4782.0,121.28086637003904,46.392820965043185,480.2398051948052,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
