penalty_scope,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
moving_only,1,176,125,80.0,576.0,4782.0,1.3542287187224906,0.9982876712328768,3.2237526856051564,0.14023109500212042,0.0,0.49414922501994313,0.010680576254346746,0.0,True
moving_only,2,176,125,80.0,576.0,4782.0,2.9153587041340217,2.1210053859964093,6.804595368823108,0.0425786598929428,0.0,0.2612909282377474,0.010680576254346746,0.0,True
moving_only,3,176,125,80.0,576.0,4782.0,4.476488689545553,3.25,10.38543805204106,0.011044700414537412,0.0,0.07260157162778427,0.010680576254346746,0.0,True
moving_only,4,176,125,80.0,576.0,4782.0,6.037618674957083,4.375838926174497,13.96628073525901,0.001012574176191392,0.0,0.0,0.010680576254346746,0.0,True
moving_only,5,176,125,80.0,576.0,4782.0,7.5987486603686145,5.501677852348993,17.54712341847696,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,6,176,125,80.0,576.0,4782.0,9.159878645780145,6.62751677852349,21.127966101694913,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,7,176,125,80.0,576.0,4782.0,10.721008631191676,7.753355704697986,24.708808784912865,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,8,176,125,80.0,576.0,4782.0,12.282138616603207,8.879194630872483,28.289651468130817,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,9,176,125,80.0,576.0,4782.0,13.843268602014739,10.00503355704698,31.87049415134877,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,10,176,125,80.0,576.0,4782.0,15.404398587426268,11.130872483221477,35.45133683456672,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,11,176,125,80.0,576.0,4782.0,16.9655285728378,12.256711409395972,39.03217951778467,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,12,176,125,80.0,576.0,4782.0,18.52665855824933,13.38255033557047,42.61302220100262,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,13,176,125,80.0,576.0,4782.0,20.087788543660864,14.508389261744966,46.193864884220574,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,14,176,125,80.0,576.0,4782.0,21.648918529072393,15.634228187919463,49.774707567438526,0.0,0.0,0.0,0.010680576254346746,0.0,True
