feature,member_mean,member_std,nonmember_mean,nonmember_std,mean_delta_member_minus_nonmember
chain_len_total,8.97746229,5.36924327,6.25491624,4.72534652,2.72254605
chain_len_norm,0.49389430,0.21195651,0.33787300,0.20373487,0.15602130
accepted_total,8.18278616,4.94113944,5.76052440,4.32840349,2.42226176
rejected_total,0.79467613,1.06667187,0.49439184,0.83094152,0.30028429
accept_rate,0.90679382,0.14798876,0.88532657,0.23428027,0.02146726
reject_rate,0.08238098,0.11391329,0.06427285,0.11621385,0.01810813
recent_count_1,0.71233363,0.74917201,0.23292061,0.48616099,0.47941302
recent_count_2,1.27364685,0.99368338,0.58645302,0.76930745,0.68719383
recent_count_4,2.32990240,1.39753309,1.33401311,1.22353159,0.99588929
recent_accept_rate_4,0.82879706,0.32486452,0.64595533,0.46061477,0.18284173
recent_reject_rate_4,0.07856763,0.18983997,0.05033018,0.17682187,0.02823745
last_seen_age,1.79984722,3.61355071,4.61092444,6.81249450,-2.81107722
last_submit_phase,0.35949666,0.20586084,0.37685892,0.20378241,-0.01736226
mean_submit_phase,0.35927747,0.19158319,0.37153540,0.18842955,-0.01225794
std_submit_phase,0.07321297,0.03713815,0.06416777,0.04442278,0.00904520
phase_entropy_4bin,0.30049168,0.22407306,0.26362277,0.23553090,0.03686891
interarrival_mean,3.31938006,6.12879212,6.69996387,10.13922248,-3.38058381
interarrival_std,1.29187767,0.96542139,1.30134833,1.22107975,-0.00947066
interarrival_min,1.93781961,6.40186225,5.34455704,10.68619268,-3.40673743
interarrival_max,5.75082671,5.98430295,8.90070436,9.48399471,-3.14987765
accept_transition_rate,0.14546213,0.19780296,0.11386440,0.20476695,0.03159773
last_accept,0.90976043,0.28176248,0.90721049,0.26754340,0.00254994
tail_accept_streak,5.41064774,4.52946111,4.20218500,3.64217761,1.20846274
tail_reject_streak,0.09600710,0.33464814,0.07166788,0.27435667,0.02433922
