n,t,tier,budget,c_anchor,c_vc,unit_cost,ns_max
3,3,walk,10.0,1.0,0.0,3.0,3
3,3,walk,20.0,1.0,0.0,3.0,6
3,3,walk,30.0,1.0,0.0,3.0,10
3,3,walk,40.0,1.0,0.0,3.0,13
3,3,walk,50.0,1.0,0.0,3.0,16
3,3,walk,80.0,1.0,0.0,3.0,26
3,3,walk,100.0,1.0,0.0,3.0,33
3,3,walk,150.0,1.0,0.0,3.0,50
3,3,walk,200.0,1.0,0.0,3.0,66
3,3,bike,10.0,1.0,1.0,4.0,2
3,3,bike,20.0,1.0,1.0,4.0,5
3,3,bike,30.0,1.0,1.0,4.0,7
3,3,bike,40.0,1.0,1.0,4.0,10
3,3,bike,50.0,1.0,1.0,4.0,12
3,3,bike,80.0,1.0,1.0,4.0,20
3,3,bike,100.0,1.0,1.0,4.0,25
3,3,bike,150.0,1.0,1.0,4.0,37
3,3,bike,200.0,1.0,1.0,4.0,50
3,3,vehicle,10.0,1.0,5.0,8.0,1
3,3,vehicle,20.0,1.0,5.0,8.0,2
3,3,vehicle,30.0,1.0,5.0,8.0,3
3,3,vehicle,40.0,1.0,5.0,8.0,5
3,3,vehicle,50.0,1.0,5.0,8.0,6
3,3,vehicle,80.0,1.0,5.0,8.0,10
3,3,vehicle,100.0,1.0,5.0,8.0,12
3,3,vehicle,150.0,1.0,5.0,8.0,18
3,3,vehicle,200.0,1.0,5.0,8.0,25
3,3,transit,10.0,1.0,3.0,6.0,1
3,3,transit,20.0,1.0,3.0,6.0,3
3,3,transit,30.0,1.0,3.0,6.0,5
3,3,transit,40.0,1.0,3.0,6.0,6
3,3,transit,50.0,1.0,3.0,6.0,8
3,3,transit,80.0,1.0,3.0,6.0,13
3,3,transit,100.0,1.0,3.0,6.0,16
3,3,transit,150.0,1.0,3.0,6.0,25
3,3,transit,200.0,1.0,3.0,6.0,33
5,1,walk,10.0,1.0,0.0,1.0,10
5,1,walk,20.0,1.0,0.0,1.0,20
5,1,walk,30.0,1.0,0.0,1.0,30
5,1,walk,40.0,1.0,0.0,1.0,40
5,1,walk,50.0,1.0,0.0,1.0,50
5,1,walk,80.0,1.0,0.0,1.0,80
5,1,walk,100.0,1.0,0.0,1.0,100
5,1,walk,150.0,1.0,0.0,1.0,150
5,1,walk,200.0,1.0,0.0,1.0,200
5,1,bike,10.0,1.0,1.0,2.0,5
5,1,bike,20.0,1.0,1.0,2.0,10
5,1,bike,30.0,1.0,1.0,2.0,15
5,1,bike,40.0,1.0,1.0,2.0,20
5,1,bike,50.0,1.0,1.0,2.0,25
5,1,bike,80.0,1.0,1.0,2.0,40
5,1,bike,100.0,1.0,1.0,2.0,50
5,1,bike,150.0,1.0,1.0,2.0,75
5,1,bike,200.0,1.0,1.0,2.0,100
5,1,vehicle,10.0,1.0,5.0,6.0,1
5,1,vehicle,20.0,1.0,5.0,6.0,3
5,1,vehicle,30.0,1.0,5.0,6.0,5
5,1,vehicle,40.0,1.0,5.0,6.0,6
5,1,vehicle,50.0,1.0,5.0,6.0,8
5,1,vehicle,80.0,1.0,5.0,6.0,13
5,1,vehicle,100.0,1.0,5.0,6.0,16
5,1,vehicle,150.0,1.0,5.0,6.0,25
5,1,vehicle,200.0,1.0,5.0,6.0,33
5,1,transit,10.0,1.0,3.0,4.0,2
5,1,transit,20.0,1.0,3.0,4.0,5
5,1,transit,30.0,1.0,3.0,4.0,7
5,1,transit,40.0,1.0,3.0,4.0,10
5,1,transit,50.0,1.0,3.0,4.0,12
5,1,transit,80.0,1.0,3.0,4.0,20
5,1,transit,100.0,1.0,3.0,4.0,25
5,1,transit,150.0,1.0,3.0,4.0,37
5,1,transit,200.0,1.0,3.0,4.0,50
5,2,walk,10.0,1.0,0.0,2.0,5
5,2,walk,20.0,1.0,0.0,2.0,10
5,2,walk,30.0,1.0,0.0,2.0,15
5,2,walk,40.0,1.0,0.0,2.0,20
5,2,walk,50.0,1.0,0.0,2.0,25
5,2,walk,80.0,1.0,0.0,2.0,40
5,2,walk,100.0,1.0,0.0,2.0,50
5,2,walk,150.0,1.0,0.0,2.0,75
5,2,walk,200.0,1.0,0.0,2.0,100
5,2,bike,10.0,1.0,1.0,3.0,3
5,2,bike,20.0,1.0,1.0,3.0,6
5,2,bike,30.0,1.0,1.0,3.0,10
5,2,bike,40.0,1.0,1.0,3.0,13
5,2,bike,50.0,1.0,1.0,3.0,16
5,2,bike,80.0,1.0,1.0,3.0,26
5,2,bike,100.0,1.0,1.0,3.0,33
5,2,bike,150.0,1.0,1.0,3.0,50
5,2,bike,200.0,1.0,1.0,3.0,66
5,2,vehicle,10.0,1.0,5.0,7.0,1
5,2,vehicle,20.0,1.0,5.0,7.0,2
5,2,vehicle,30.0,1.0,5.0,7.0,4
5,2,vehicle,40.0,1.0,5.0,7.0,5
5,2,vehicle,50.0,1.0,5.0,7.0,7
5,2,vehicle,80.0,1.0,5.0,7.0,11
5,2,vehicle,100.0,1.0,5.0,7.0,14
5,2,vehicle,150.0,1.0,5.0,7.0,21
5,2,vehicle,200.0,1.0,5.0,7.0,28
5,2,transit,10.0,1.0,3.0,5.0,2
5,2,transit,20.0,1.0,3.0,5.0,4
5,2,transit,30.0,1.0,3.0,5.0,6
5,2,transit,40.0,1.0,3.0,5.0,8
5,2,transit,50.0,1.0,3.0,5.0,10
5,2,transit,80.0,1.0,3.0,5.0,16
5,2,transit,100.0,1.0,3.0,5.0,20
5,2,transit,150.0,1.0,3.0,5.0,30
5,2,transit,200.0,1.0,3.0,5.0,40
5,3,walk,10.0,1.0,0.0,3.0,3
5,3,walk,20.0,1.0,0.0,3.0,6
5,3,walk,30.0,1.0,0.0,3.0,10
5,3,walk,40.0,1.0,0.0,3.0,13
5,3,walk,50.0,1.0,0.0,3.0,16
5,3,walk,80.0,1.0,0.0,3.0,26
5,3,walk,100.0,1.0,0.0,3.0,33
5,3,walk,150.0,1.0,0.0,3.0,50
5,3,walk,200.0,1.0,0.0,3.0,66
5,3,bike,10.0,1.0,1.0,4.0,2
5,3,bike,20.0,1.0,1.0,4.0,5
5,3,bike,30.0,1.0,1.0,4.0,7
5,3,bike,40.0,1.0,1.0,4.0,10
5,3,bike,50.0,1.0,1.0,4.0,12
5,3,bike,80.0,1.0,1.0,4.0,20
5,3,bike,100.0,1.0,1.0,4.0,25
5,3,bike,150.0,1.0,1.0,4.0,37
5,3,bike,200.0,1.0,1.0,4.0,50
5,3,vehicle,10.0,1.0,5.0,8.0,1
5,3,vehicle,20.0,1.0,5.0,8.0,2
5,3,vehicle,30.0,1.0,5.0,8.0,3
5,3,vehicle,40.0,1.0,5.0,8.0,5
5,3,vehicle,50.0,1.0,5.0,8.0,6
5,3,vehicle,80.0,1.0,5.0,8.0,10
5,3,vehicle,100.0,1.0,5.0,8.0,12
5,3,vehicle,150.0,1.0,5.0,8.0,18
5,3,vehicle,200.0,1.0,5.0,8.0,25
5,3,transit,10.0,1.0,3.0,6.0,1
5,3,transit,20.0,1.0,3.0,6.0,3
5,3,transit,30.0,1.0,3.0,6.0,5
5,3,transit,40.0,1.0,3.0,6.0,6
5,3,transit,50.0,1.0,3.0,6.0,8
5,3,transit,80.0,1.0,3.0,6.0,13
5,3,transit,100.0,1.0,3.0,6.0,16
5,3,transit,150.0,1.0,3.0,6.0,25
5,3,transit,200.0,1.0,3.0,6.0,33
5,4,walk,10.0,1.0,0.0,4.0,2
5,4,walk,20.0,1.0,0.0,4.0,5
5,4,walk,30.0,1.0,0.0,4.0,7
5,4,walk,40.0,1.0,0.0,4.0,10
5,4,walk,50.0,1.0,0.0,4.0,12
5,4,walk,80.0,1.0,0.0,4.0,20
5,4,walk,100.0,1.0,0.0,4.0,25
5,4,walk,150.0,1.0,0.0,4.0,37
5,4,walk,200.0,1.0,0.0,4.0,50
5,4,bike,10.0,1.0,1.0,5.0,2
5,4,bike,20.0,1.0,1.0,5.0,4
5,4,bike,30.0,1.0,1.0,5.0,6
5,4,bike,40.0,1.0,1.0,5.0,8
5,4,bike,50.0,1.0,1.0,5.0,10
5,4,bike,80.0,1.0,1.0,5.0,16
5,4,bike,100.0,1.0,1.0,5.0,20
5,4,bike,150.0,1.0,1.0,5.0,30
5,4,bike,200.0,1.0,1.0,5.0,40
5,4,vehicle,10.0,1.0,5.0,9.0,1
5,4,vehicle,20.0,1.0,5.0,9.0,2
