system,backend,constraints,public_inputs,secret_inputs,internal_vars,setup_ms,prove_mean_ms,prove_std_ms,verify_mean_ms,verify_std_ms,proof_bytes,pk_bytes,vk_bytes,iterations,notes
gnark,groth16_bn254,2403,11,1,2402,167.294,15.678,0.757,1.669,0.637,164,290391,684,10,constraint-matched synthetic circuit; 11 public inputs; gnark Groth16 over BN254
gnark,plonk_bn254_kzg,2403,11,1,2402,56.276,112.744,16.279,2.129,0.204,520,296576,34328,10,constraint-matched synthetic circuit; 11 public inputs; gnark PLONK over BN254/KZG; unsafe test SRS for benchmarking only
