adversarial_min_fee_cents,cadence_sec,claimed_distance_m,claimed_path,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,path_changed_fixes,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m,true_path
3610,120,361,"[1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415]",True,rome,100,270.71067811865476,coarse,6364,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.43274670018856065,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,300,361,"[1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415]",True,rome,100,270.71067811865476,coarse,6364,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.43274670018856065,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,120,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,5740,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.3710801393728223,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,300,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,5740,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.3710801393728223,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,120,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,fine,5740,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.3710801393728223,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,300,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,fine,5740,25,1350,25,intra_cell,150,rome:60:11-0-s136:p0,200,0.3710801393728223,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
3610,120,361,"[1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1315]",True,rome,100,270.71067811865476,coarse,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
3610,300,361,"[1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1315]",True,rome,100,270.71067811865476,coarse,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
3610,120,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
3610,300,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
3610,120,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,fine,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
3610,300,361,"[1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,fine,5680,25,1350,25,intra_cell,150,rome:60:11-0-s186:p0,200,0.3644366197183099,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
4610,120,461,"[1312,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1514]",True,rome,100,200.0,coarse,6364,25,1300,24,cell,100,rome:60:11-0-s136:p0,200,0.27561282212445004,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
4610,300,461,"[1312,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1514]",True,rome,100,200.0,coarse,6364,25,1300,24,cell,100,rome:60:11-0-s136:p0,200,0.27561282212445004,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
11552,120,1083,"[1010,1010,1213,1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26616694193876256,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
11552,300,1083,"[1010,1010,1213,1511,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314]",True,rome,100,270.71067811865476,medium,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26616694193876256,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
11616,120,1105,"[1010,1010,1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1315,1512]",True,rome,100,270.71067811865476,coarse,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26210138483039,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
11616,300,1105,"[1010,1010,1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1315,1512]",True,rome,100,270.71067811865476,coarse,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26210138483039,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
11616,120,1105,"[1010,1010,1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1315,1512]",True,rome,100,270.71067811865476,fine,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26210138483039,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
11616,300,1105,"[1010,1010,1212,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1315,1512]",True,rome,100,270.71067811865476,fine,15742,25,1350,25,intra_cell,150,rome:60:109-0-s32:p0,200,0.26210138483039,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
8942,120,822,"[1110,1110,1110,1110,1110,1110,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1512,1315]",True,rome,100,270.71067811865476,coarse,11874,25,1350,25,intra_cell,150,rome:60:109-0-s188:p0,200,0.24692605693111,,1076,"[909,1010,1010,1010,1010,1112,1312,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
