dataset,branch,distance_bucket_m,neighbor_radius_cells,n,skip_count,min_savings,mean_savings,median_savings,p95_savings
tdrive,no_cadence,25,2,0,1,,,,
tdrive,no_continuity,25,2,1,0,0.0,0.0,0.0,0.0
tdrive,no_continuity_osnma_lifted,25,2,1,0,0.005769457200047097,0.005769457200047097,0.005769457200047097,0.005769457200047097
tdrive,no_zone_binding,25,2,1,0,0.0034145767102319556,0.0034145767102319556,0.0034145767102319556,0.0034145767102319556
