branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity,rome:60:134-0-s99:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,2,25,0.00924410994764398,
no_cadence,rome:60:134-0-s99:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p0,25,2,25,0.0,
no_continuity,rome:60:137-0-s71:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,2,25,0.03486092715231788,
no_cadence,rome:60:137-0-s71:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p1,25,2,25,0.0,
no_continuity,rome:60:137-0-s71:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:137-0-s71:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p2,25,2,25,0.0,
no_continuity,rome:60:137-0-s71:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,2,25,0.022055965798678585,
no_cadence,rome:60:137-0-s71:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:140-0-s121:p0,25,2,25,0.0,
no_continuity,rome:60:140-0-s121:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,2,25,0.0025188916876574307,
no_cadence,rome:60:140-0-s121:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:140-0-s121:p1,25,2,25,0.0,
no_continuity,rome:60:140-0-s121:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:140-0-s121:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s182:p0,25,2,25,0.0,
no_continuity,rome:60:149-0-s182:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,2,25,0.05643712574850299,
no_cadence,rome:60:149-0-s182:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p0,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p1,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p1,25,2,25,0.0005356186395286556,
no_cadence,rome:60:149-0-s21:p1,25,2,25,0.0005356186395286556,
no_zone_binding,rome:60:149-0-s21:p2,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p3,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p3,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p3,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p3,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:150-0-s108:p0,25,2,25,0.0,
no_continuity,rome:60:150-0-s108:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:150-0-s108:p0,25,2,25,0.01140724946695096,
no_cadence,rome:60:150-0-s108:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s12:p0,25,2,25,0.0,
no_continuity,rome:60:153-0-s12:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s12:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:153-0-s12:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s12:p1,25,2,25,0.0,
no_continuity,rome:60:153-0-s12:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s12:p1,25,2,25,0.00703037120359955,
no_cadence,rome:60:153-0-s12:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p0,25,2,25,0.0,
no_continuity,rome:60:153-0-s15:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:153-0-s15:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p1,25,2,25,0.0,
no_continuity,rome:60:153-0-s15:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p1,25,2,25,0.011026802773077132,
no_cadence,rome:60:153-0-s15:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p2,25,2,25,0.0,
no_continuity,rome:60:153-0-s15:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p2,25,2,25,0.020437956204379562,
no_cadence,rome:60:153-0-s15:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s214:p0,25,2,25,0.0,
no_continuity,rome:60:153-0-s214:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s214:p0,25,2,25,0.10124333925399645,
no_cadence,rome:60:153-0-s214:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s239:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s239:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:155-0-s239:p0,25,2,25,0.007318516924070387,
no_cadence,rome:60:155-0-s239:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s253:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s253:p0,25,2,25,0.0,
