dataset,branch,distance_bucket_m,neighbor_radius_cells,n,skip_count,min_savings,mean_savings,median_savings,p95_savings
geolife,no_cadence,25,2,1,13,0.0,0.0,0.0,0.0
geolife,no_continuity,25,2,14,0,0.0,0.0,0.0,0.0
geolife,no_continuity_osnma_lifted,25,2,14,0,0.039889958734525444,0.083653535012519,0.08494872317281507,0.14171711612548157
geolife,no_zone_binding,25,2,14,0,0.0,0.2695731652974051,0.2764975221493263,0.4
