profile,n_constraints,public_inputs,private_inputs,prover_time_ms,verifier_time_ms,pk_bytes,vk_bytes,proof_object_bytes,proof_json_bytes,public_json_bytes,ptau_bytes,setup_time_ms,setup_notes
v2,1588,8,10,2245.152,1353.664,937702,4206,128,805,449,4720039,6324.268,"Groth16(BN254), circuit-specific phase2; legacy v2 artifact."
v3-k6,3077,13,24,1560.143,994.58,1886421,5131,128,806,782,4720039,11059.728,"Groth16(BN254), K compile-time constant (k6 artifact)."
v3-k30,3077,13,24,2034.095,1146.654,1886422,5128,128,804,784,4720039,12430.771,"Groth16(BN254), K compile-time constant (k30 artifact)."
