adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
18498,300,4566,True,geolife,100,470.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
,60,,False,geolife,100,0.0,fine,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20961,60,4807,True,geolife,100,100.0,fine,21664,11,600,cell,100,010-20080916114237-0,100,0.032450147710487445,,5046
19915,60,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
18768,60,4620,True,geolife,100,400.0,fine,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,60,,False,geolife,100,70.71067811865476,fine,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19932,60,4644,True,geolife,100,170.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.07994830132939439,,5046
19215,60,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
18258,60,4518,True,geolife,100,470.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.15721935007385524,,5046
,120,,False,geolife,100,0.0,fine,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20961,120,4807,True,geolife,100,100.0,fine,21664,11,600,cell,100,010-20080916114237-0,100,0.032450147710487445,,5046
19915,120,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
18768,120,4620,True,geolife,100,400.0,fine,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,120,,False,geolife,100,70.71067811865476,fine,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19932,120,4644,True,geolife,100,170.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.07994830132939439,,5046
19215,120,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
18258,120,4518,True,geolife,100,470.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.15721935007385524,,5046
,300,,False,geolife,100,0.0,fine,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20961,300,4807,True,geolife,100,100.0,fine,21664,11,600,cell,100,010-20080916114237-0,100,0.032450147710487445,,5046
19915,300,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
18768,300,4620,True,geolife,100,400.0,fine,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,300,,False,geolife,100,70.71067811865476,fine,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19932,300,4644,True,geolife,100,170.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.07994830132939439,,5046
19215,300,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
18258,300,4518,True,geolife,100,470.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.15721935007385524,,5046
17323,60,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
