dataset,units,proof_generated,proof_verified,proof_failed,timing_units,timing_excluded_units,proofs_per_second_mean,proofs_per_second_std,proofs_per_second_min,proofs_per_second_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max,wall_seconds_total,aggregate_proofs_per_second
tdrive,3,45000,45000,0,3,0,1.0720581904449455,0.12675933621401783,0.9764989258511816,1.215854745886358,14116.333333333334,1581.3112702227013,12337.0,15361.0,42349.0,1.062598880729179
geolife,3,45000,45000,0,3,0,0.9936456289722264,0.027101372488730152,0.9715655159012889,1.023890784982935,15103.333333333334,407.4485652611055,14650.0,15439.0,45310.0,0.9931582432134187
porto,3,45000,45000,0,3,0,0.9674692499023995,0.020411269110482973,0.9452987143937485,0.9854805860324551,15509.0,329.29166403053694,15221.0,15868.0,46527.0,0.967180346895351
rome,3,45000,45000,0,2,1,0.9672418130132815,0.03103222766823395,0.9452987143937485,0.9891849116328145,15516.0,497.80317395532944,15164.0,15868.0,31032.0,0.9667440061871616
synthetic,3,45000,45000,0,2,1,0.9828419187419981,0.008970346572228774,0.9764989258511816,0.9891849116328145,15262.5,139.30003589374985,15164.0,15361.0,30525.0,0.9828009828009828
