adversarial_min_fee_cents,cadence_sec,claimed_distance_m,claimed_path,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,path_changed_fixes,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m,true_path
7964,120,724,"[9,108,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403]",True,rome,50,270.71067811865476,medium,10392,25,700,25,intra_cell,100,rome:60:353-0-s131:p0,200,0.23364126250962278,,866,"[210,307,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
6230,120,623,"[1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1313,1412,1513,1313]",True,rome,50,270.71067811865476,medium,8116,25,700,25,intra_cell,100,rome:60:243-0-s91:p0,200,0.23238048299655004,,750,"[1410,1310,1310,1310,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6853,120,623,"[108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,8,109,8,108,108]",True,rome,50,270.71067811865476,medium,8924,25,700,24,intra_cell,100,rome:60:256-0-s375:p0,200,0.2320708202599731,,745,"[107,108,208,208,208,208,208,208,208,208,208,207,207,207,208,207,208,207,207,207,207,207,207,307,309]"
7640,120,764,"[1212,1212,1212,1213,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1412,1313,1412,1313]",True,rome,50,270.71067811865476,medium,9940,25,700,25,intra_cell,100,rome:60:149-0-s182:p0,200,0.23138832997987926,,889,"[1111,1112,1313,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6430,120,623,"[1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1303,1202,1103,1004]",True,rome,50,270.71067811865476,medium,8357,25,700,25,intra_cell,100,rome:60:229-0-s172:p0,200,0.23058513820749071,,755,"[1307,1205,1203,1203,1204,1204,1203,1204,1204,1204,1204,1204,1204,1204,1203,1203,1203,1204,1204,1204,1204,1203,1204,1204,1204]"
8460,120,846,"[1212,1212,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1412,1313,1412,1313,1412]",True,rome,50,270.71067811865476,medium,10974,25,700,25,intra_cell,100,rome:60:137-0-s71:p0,200,0.2290869327501367,,1000,"[1011,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6230,120,623,"[1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1313,1412,1513,1313]",True,rome,50,270.71067811865476,medium,8030,25,700,25,intra_cell,100,rome:60:336-0-s227:p0,200,0.22415940224159403,,743,"[1310,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
8614,120,765,"[813,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,1013,1213,1011]",True,rome,50,270.71067811865476,medium,11076,25,700,25,intra_cell,100,rome:60:163-0-s105:p0,200,0.2222824124232575,,923,"[614,1010,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
7992,120,751,"[803,803,803,803,803,908,908,909,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010]",True,rome,50,270.71067811865476,medium,10224,25,700,24,intra_cell,100,rome:60:43-1-s109:p0,200,0.21830985915492956,,852,"[705,705,705,705,705,806,908,1010,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1112,1112,1112,1112,1112,1112]"
6276,120,523,"[101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,1,100,1]",True,rome,50,270.71067811865476,medium,7980,25,700,25,intra_cell,100,rome:60:275-0-s235:p0,200,0.21353383458646616,,665,"[300,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
7404,120,664,"[110,110,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,109,8,109,8]",True,rome,50,270.71067811865476,medium,9360,25,700,25,intra_cell,100,rome:60:268-0-s46:p0,200,0.20897435897435898,,780,"[311,309,308,308,308,307,307,307,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208]"
5640,120,564,"[1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1412,1313,1212,1113]",True,rome,50,270.71067811865476,medium,7060,25,700,25,intra_cell,100,rome:60:153-0-s214:p0,200,0.20113314447592068,,706,"[1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1313,1313]"
5784,120,482,"[203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,102,3,1]",True,rome,50,270.71067811865476,medium,7212,25,700,25,intra_cell,100,rome:60:45-0-s4:p0,200,0.19800332778702162,,601,"[205,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
6276,120,523,"[102,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,101,2]",True,rome,50,270.71067811865476,medium,7824,25,700,25,intra_cell,100,rome:60:257-0-s123:p0,200,0.19785276073619631,,652,"[204,300,201,202,202,202,202,202,202,202,202,202,202,202,202,202,203,203,203,203,203,203,203,203,203]"
8394,120,723,"[712,712,712,712,712,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,912,1212,1111]",True,rome,50,270.71067811865476,medium,10464,25,700,25,intra_cell,100,rome:60:214-0-s220:p0,200,0.1978211009174312,,872,"[614,614,614,614,513,1010,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
10470,120,1047,"[1100,1001,803,902,1003,803,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904]",True,rome,50,270.71067811865476,medium,13040,25,700,25,intra_cell,100,rome:60:178-1-s43:p0,200,0.19708588957055215,,1214,"[1200,1102,1003,903,905,805,906,906,905,905,905,905,905,905,805,805,806,806,806,806,806,806,806,806,806]"
9118,120,807,"[814,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1213,1011]",True,rome,50,270.71067811865476,medium,11352,25,700,5,intra_cell,100,rome:60:46-0-s49:p0,200,0.19679351656095842,,946,"[615,910,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
14252,120,1397,"[1100,1201,1003,803,1009,1009,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910]",True,rome,50,270.71067811865476,medium,17711,25,700,25,intra_cell,100,rome:60:51-1-s193:p0,200,0.1953023544689741,,1572,"[1200,1202,1204,905,907,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
13525,120,1256,"[1007,1007,1007,1007,1007,1005,803,1009,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908]",True,rome,50,270.71067811865476,medium,16788,25,700,23,intra_cell,100,rome:60:306-0-s68:p0,200,0.19436502263521563,,1413,"[908,1009,1109,1208,1008,1005,805,907,807,807,807,807,907,907,907,907,907,907,907,907,907,907,907,907,908]"
7194,120,623,"[812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,911,911,911,911,911,911,1012,1212,1111]",True,rome,50,270.71067811865476,medium,8904,25,700,25,intra_cell,100,rome:60:213-0-s66:p0,200,0.19204851752021562,,742,"[613,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1112,1112,1112,1112,1112,1112,1112,1112]"
7613,120,683,"[108,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,303]",True,rome,50,270.71067811865476,medium,9420,25,700,25,intra_cell,100,rome:60:353-0-s219:p0,200,0.1918259023354565,,785,"[308,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
13038,120,1211,"[703,703,703,803,1005,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1112]",True,rome,50,270.71067811865476,medium,16128,25,700,25,intra_cell,100,rome:60:329-0-s55:p0,200,0.19159226190476192,,1344,"[503,503,504,705,907,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
11746,120,1055,"[9,108,108,108,108,108,108,108,108,108,108,108,108,108,7,108,302,302,302,302,302,302,302,302,302]",True,rome,50,270.71067811865476,medium,14484,25,700,25,intra_cell,100,rome:60:289-0-s77:p0,200,0.18903617785142227,,1207,"[107,106,6,6,6,6,6,6,6,6,6,6,6,6,6,307,202,202,202,202,202,202,202,202,202]"
6230,120,623,"[1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1411,1512,1312]",True,rome,50,270.71067811865476,medium,7670,25,700,25,intra_cell,100,rome:60:254-0-s329:p0,200,0.1877444589308996,,767,"[1510,1412,1413,1513,1513,1513,1413,1413,1413,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
