tau,tau2,seed,attack_type,malicious_rate,tpr_attack,benign_frr,attack_round_csv,benign_round_csv,attack_log,benign_log
2,4,2,gradual_drift,0.10,0.983330,0.192000,experiments/round_metrics_20260422_190356.csv,experiments/round_metrics_20260422_193014.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau24_s2_j25.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau24_s2_j25.log
2,4,3,gradual_drift,0.10,0.990000,0.192000,experiments/round_metrics_20260422_190504.csv,experiments/round_metrics_20260422_193130.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau24_s3_j26.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau24_s3_j26.log
2,5,1,gradual_drift,0.10,0.990000,0.192000,experiments/round_metrics_20260422_190504.csv,experiments/round_metrics_20260422_193133.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau25_s1_j27.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau25_s1_j27.log
2,5,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_200054.csv,experiments/round_metrics_20260422_202643.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau25_s2_j28.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau25_s2_j28.log
2,5,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_200054.csv,experiments/round_metrics_20260422_202648.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau25_s3_j29.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau25_s3_j29.log
3,1,1,gradual_drift,0.10,0.986605,0.192000,experiments/round_metrics_20260422_200206.csv,experiments/round_metrics_20260422_202738.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau21_s1_j30.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau21_s1_j30.log
3,1,2,gradual_drift,0.10,0.986605,0.192000,experiments/round_metrics_20260422_200206.csv,experiments/round_metrics_20260422_202724.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau21_s2_j31.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau21_s2_j31.log
3,1,3,gradual_drift,0.10,0.960000,0.192000,experiments/round_metrics_20260422_205205.csv,experiments/round_metrics_20260422_211851.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau21_s3_j32.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau21_s3_j32.log
3,2,1,gradual_drift,0.10,0.966670,0.192000,experiments/round_metrics_20260422_205207.csv,experiments/round_metrics_20260422_211859.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau22_s1_j33.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau22_s1_j33.log
3,2,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_205305.csv,experiments/round_metrics_20260422_211953.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau22_s2_j34.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau22_s2_j34.log
3,2,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_205305.csv,experiments/round_metrics_20260422_211953.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau22_s3_j35.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau22_s3_j35.log
3,3,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_214230.csv,experiments/round_metrics_20260422_220513.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau23_s1_j36.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau23_s1_j36.log
3,3,2,gradual_drift,0.10,0.966670,0.192000,experiments/round_metrics_20260422_214235.csv,experiments/round_metrics_20260422_220524.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau23_s2_j37.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau23_s2_j37.log
3,3,3,gradual_drift,0.10,0.950000,0.192000,experiments/round_metrics_20260422_214421.csv,experiments/round_metrics_20260422_220634.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau23_s3_j38.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau23_s3_j38.log
3,4,1,gradual_drift,0.10,0.950000,0.192000,experiments/round_metrics_20260422_214421.csv,experiments/round_metrics_20260422_220642.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau24_s1_j39.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau24_s1_j39.log
3,4,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_222823.csv,experiments/round_metrics_20260422_225248.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau24_s2_j40.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau24_s2_j40.log
3,4,3,gradual_drift,0.10,0.983330,0.192000,experiments/round_metrics_20260422_222826.csv,experiments/round_metrics_20260422_225230.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau24_s3_j41.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau24_s3_j41.log
3,5,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_222957.csv,experiments/round_metrics_20260422_225409.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau25_s1_j42.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau25_s1_j42.log
3,5,2,gradual_drift,0.10,0.970830,0.192000,experiments/round_metrics_20260422_223004.csv,experiments/round_metrics_20260422_225405.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau25_s2_j43.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau25_s2_j43.log
3,5,3,gradual_drift,0.10,0.941665,0.192000,experiments/round_metrics_20260422_231659.csv,experiments/round_metrics_20260422_234035.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau3_tau25_s3_j44.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau3_tau25_s3_j44.log
4,1,1,gradual_drift,0.10,0.941665,0.192000,experiments/round_metrics_20260422_231659.csv,experiments/round_metrics_20260422_234052.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau21_s1_j45.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau21_s1_j45.log
4,1,2,gradual_drift,0.10,0.983750,0.192000,experiments/round_metrics_20260422_231840.csv,experiments/round_metrics_20260422_234208.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau21_s2_j46.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau21_s2_j46.log
4,1,3,gradual_drift,0.10,0.983750,0.192000,experiments/round_metrics_20260422_231840.csv,experiments/round_metrics_20260422_234218.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau21_s3_j47.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau21_s3_j47.log
4,2,1,gradual_drift,0.10,0.966670,0.192000,experiments/round_metrics_20260423_000428.csv,experiments/round_metrics_20260423_002844.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau22_s1_j48.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau22_s1_j48.log
4,2,2,gradual_drift,0.10,0.900000,0.192000,experiments/round_metrics_20260423_000450.csv,experiments/round_metrics_20260423_002853.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau22_s2_j49.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau22_s2_j49.log
4,2,3,gradual_drift,0.10,0.987500,0.192000,experiments/round_metrics_20260423_000630.csv,experiments/round_metrics_20260423_003035.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau22_s3_j50.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau22_s3_j50.log
4,3,1,gradual_drift,0.10,0.987500,0.192000,experiments/round_metrics_20260423_000630.csv,experiments/round_metrics_20260423_003021.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau23_s1_j51.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau23_s1_j51.log
4,3,2,gradual_drift,0.10,0.900000,0.192000,experiments/round_metrics_20260423_005327.csv,experiments/round_metrics_20260423_011728.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau23_s2_j52.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau23_s2_j52.log
4,3,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_005333.csv,experiments/round_metrics_20260423_011716.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau23_s3_j53.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau23_s3_j53.log
4,4,1,gradual_drift,0.10,0.992855,0.192000,experiments/round_metrics_20260423_005521.csv,experiments/round_metrics_20260423_011854.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau24_s1_j54.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau24_s1_j54.log
