dataset,branch,distance_bucket_m,neighbor_radius_cells,n,skip_count,min_savings,mean_savings,median_savings,p95_savings
rome,no_continuity,25,1,162,0,0.0,0.0,0.0,0.0
rome,no_continuity,25,2,162,0,0.0,0.0,0.0,0.0
rome,no_continuity,25,3,162,0,0.0,0.0,0.0,0.0
rome,no_continuity,25,4,162,0,0.0,0.0,0.0,0.0
rome,no_continuity_osnma_lifted,25,1,124,38,0.744842562432139,0.9392455408215308,0.9617160787765899,0.9927225092788007
rome,no_continuity_osnma_lifted,25,2,134,28,0.744842562432139,0.9414956466446929,0.9647407804536434,0.9927225092788007
rome,no_continuity_osnma_lifted,25,3,134,28,0.744842562432139,0.9416591905214354,0.9647407804536434,0.9927225092788007
rome,no_continuity_osnma_lifted,25,4,134,28,0.744842562432139,0.9416882505504187,0.9647407804536434,0.9927225092788007
