branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,25,3,25,0.8113557544963304,
no_continuity,rome:60:109-0-s40:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,25,4,25,0.8113557544963304,
no_continuity,rome:60:109-0-s42:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,1,25,0.8583271004736973,
no_continuity,rome:60:109-0-s42:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,2,25,0.8598229867863376,
no_continuity,rome:60:109-0-s42:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,3,25,0.8598229867863376,
no_continuity,rome:60:109-0-s42:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,4,25,0.8598229867863376,
no_continuity,rome:60:11-0-s11:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,1,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,2,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,3,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,4,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p1,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p1,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p1,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p2,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,2,25,0.9773418734987991,
no_continuity,rome:60:11-0-s11:p2,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,3,25,0.9773418734987991,
no_continuity,rome:60:11-0-s11:p2,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,4,25,0.9773418734987991,
no_continuity,rome:60:11-0-s136:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,1,25,0.9741770978210478,
no_continuity,rome:60:11-0-s136:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,2,25,0.9741770978210478,
no_continuity,rome:60:11-0-s136:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,3,25,0.9741770978210478,
no_continuity,rome:60:11-0-s136:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,4,25,0.9741770978210478,
no_continuity,rome:60:11-0-s186:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,1,25,0.9755273530558323,
no_continuity,rome:60:11-0-s186:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,2,25,0.9758738684107939,
no_continuity,rome:60:11-0-s186:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,3,25,0.9758738684107939,
no_continuity,rome:60:11-0-s186:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,4,25,0.9758738684107939,
no_continuity,rome:60:11-0-s84:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s84:p0,25,1,25,0.9558201472661758,
no_continuity,rome:60:11-0-s84:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s84:p0,25,2,25,0.9558201472661758,
no_continuity,rome:60:11-0-s84:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s84:p0,25,3,25,0.9558201472661758,
no_continuity,rome:60:11-0-s84:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s84:p0,25,4,25,0.9558201472661758,
no_continuity,rome:60:124-1-s99:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:124-1-s99:p0,25,1,25,0.9941537440915499,
no_continuity,rome:60:124-1-s99:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:124-1-s99:p0,25,2,25,0.9941537440915499,
no_continuity,rome:60:124-1-s99:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:124-1-s99:p0,25,3,25,0.9941537440915499,
no_continuity,rome:60:124-1-s99:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:124-1-s99:p0,25,4,25,0.9941537440915499,
no_continuity,rome:60:127-0-s273:p0,25,1,25,0.0,
