branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,50,2,25,0.813130091136382,
no_continuity,rome:60:109-0-s40:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,100,2,25,0.8172433260746834,
no_continuity,rome:60:109-0-s42:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,10,2,25,0.8533408127648965,
no_continuity,rome:60:109-0-s42:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,2,25,0.8598229867863376,
no_continuity,rome:60:109-0-s42:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,50,2,25,0.8593243580154575,
no_continuity,rome:60:109-0-s42:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,100,2,25,0.8649962602842184,
no_continuity,rome:60:11-0-s11:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,10,2,25,0.9645557655954632,
no_continuity,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,2,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,50,2,25,0.9666824196597353,
no_continuity,rome:60:11-0-s11:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,100,2,25,0.9665642722117203,
no_continuity,rome:60:11-0-s11:p1,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,10,2,25,0.9914844788017877,
no_continuity,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:11-0-s11:p1,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,50,2,25,0.9914844788017877,
no_continuity,rome:60:11-0-s11:p1,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,100,2,25,0.9939606232636792,
