branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_cadence,rome:60:124-1-s99:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:127-0-s273:p0,25,2,25,0.04042019441831295,
no_continuity,rome:60:127-0-s273:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,2,25,0.06904985888993415,
no_cadence,rome:60:127-0-s273:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s16:p0,25,2,25,0.0,
no_continuity,rome:60:128-0-s16:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:128-0-s16:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s16:p1,25,2,25,0.0,
no_continuity,rome:60:128-0-s16:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p1,25,2,25,0.009431641105552366,
no_cadence,rome:60:128-0-s16:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s65:p0,25,2,25,0.0011674559326493028,
no_continuity,rome:60:128-0-s65:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s65:p0,25,2,25,0.007004735595895817,
no_cadence,rome:60:128-0-s65:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s82:p0,25,2,25,0.021166536987406705,
no_continuity,rome:60:128-0-s82:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p0,25,2,25,0.07642431053860119,
no_cadence,rome:60:128-0-s82:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s82:p1,25,2,25,0.0021329203347462233,
no_continuity,rome:60:128-0-s82:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p1,25,2,25,0.012797522008477339,
no_cadence,rome:60:128-0-s82:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s82:p2,25,2,25,0.0013957307060755337,
no_continuity,rome:60:128-0-s82:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:128-0-s82:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:134-0-s99:p0,25,2,25,0.0015406849912739965,
no_continuity,rome:60:134-0-s99:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,2,25,0.00924410994764398,
no_cadence,rome:60:134-0-s99:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p0,25,2,25,0.004310535586259393,
no_continuity,rome:60:137-0-s71:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,2,25,0.0325458713566238,
no_cadence,rome:60:137-0-s71:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p1,25,2,25,0.0,
no_continuity,rome:60:137-0-s71:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:137-0-s71:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:137-0-s71:p2,25,2,25,0.0,
no_continuity,rome:60:137-0-s71:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,2,25,0.01844778545306786,
