penalty_scope,dataset,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,max_zone_rate_cents_per_m,ge_dataset_max_zone_rate,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
all_outages,rome,7,162,162,12,False,80.0,542.4000000000001,4224.0,60.54000501683154,23.134297698186586,239.9530194805195,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,8,162,162,12,False,80.0,542.4000000000001,4224.0,69.21727092443261,26.4569438791661,274.27970315398886,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,9,162,162,12,False,80.0,542.4000000000001,4224.0,77.89453683203368,29.779590060145615,308.6063868274582,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,10,162,162,12,False,80.0,542.4000000000001,4224.0,86.57180273963475,33.10223624112513,342.9330705009276,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,11,162,162,12,False,80.0,542.4000000000001,4224.0,95.24906864723582,36.424882422104645,377.259754174397,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,12,162,162,12,True,80.0,542.4000000000001,4224.0,103.92633455483688,39.74752860308416,411.58643784786636,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,13,162,162,12,True,80.0,542.4000000000001,4224.0,112.60360046243795,43.07017478406367,445.9131215213358,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,rome,14,162,162,12,True,80.0,542.4000000000001,4224.0,121.28086637003904,46.392820965043185,480.2398051948052,0.0,0.0,0.0,0.0046031873900726356,0.6338096574207686,True
all_outages,tdrive,1,1,1,5,False,2175.0,2175.0,2175.0,108.22620689655173,108.22620689655173,108.22620689655173,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,2,1,1,5,False,2175.0,2175.0,2175.0,217.45241379310346,217.45241379310346,217.45241379310346,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,3,1,1,5,False,2175.0,2175.0,2175.0,326.6786206896552,326.6786206896552,326.6786206896552,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,4,1,1,5,False,2175.0,2175.0,2175.0,435.9048275862069,435.9048275862069,435.9048275862069,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,5,1,1,5,True,2175.0,2175.0,2175.0,545.1310344827587,545.1310344827587,545.1310344827587,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,6,1,1,5,True,2175.0,2175.0,2175.0,654.3572413793104,654.3572413793104,654.3572413793104,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,7,1,1,5,True,2175.0,2175.0,2175.0,763.5834482758621,763.5834482758621,763.5834482758621,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,8,1,1,5,True,2175.0,2175.0,2175.0,872.8096551724138,872.8096551724138,872.8096551724138,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,9,1,1,5,True,2175.0,2175.0,2175.0,982.0358620689656,982.0358620689656,982.0358620689656,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,10,1,1,5,True,2175.0,2175.0,2175.0,1091.2620689655173,1091.2620689655173,1091.2620689655173,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,11,1,1,5,True,2175.0,2175.0,2175.0,1200.488275862069,1200.488275862069,1200.488275862069,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,12,1,1,5,True,2175.0,2175.0,2175.0,1309.7144827586208,1309.7144827586208,1309.7144827586208,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,13,1,1,5,True,2175.0,2175.0,2175.0,1418.9406896551725,1418.9406896551725,1418.9406896551725,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
all_outages,tdrive,14,1,1,5,True,2175.0,2175.0,2175.0,1528.1668965517242,1528.1668965517242,1528.1668965517242,0.0,0.0,0.0,0.0018310623950296126,0.9583333333333334,True
