dataset,penalty_scope,controlled_duration_sec,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,n_periods,n_penalty_observations,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95
rome,all_outage,,0.5,6.0,12.0,162,162,19.811651517207075,205.62633580705008,0.0,0.0,0.0
rome,moving_outage,,0.5,6.0,12.0,162,125,6.62751677852349,21.127966101694913,0.0,0.0,0.0
rome,all_outage,,0.6,7.199999999999999,12.0,162,162,23.79882693438249,246.81835621521336,0.0,0.0,0.0
rome,moving_outage,,0.6,7.199999999999999,12.0,162,125,7.978523489932885,25.424977321556455,0.0,0.0,0.0
rome,all_outage,,0.7,8.399999999999999,12.0,162,162,27.7860023515579,288.01037662337654,0.0,0.0,0.0
rome,moving_outage,,0.7,8.399999999999999,12.0,162,125,9.32953020134228,29.721988541417993,0.0,0.0,0.0
rome,all_outage,,0.8,9.600000000000001,12.0,162,162,31.77317776873333,329.20239703153993,0.0,0.0,0.0
rome,moving_outage,,0.8,9.600000000000001,12.0,162,125,10.680536912751679,34.01899976127954,0.0,0.0,0.0
rome,all_outage,,0.9,10.8,12.0,162,162,35.76035318590874,370.39441743970315,0.0,0.0,0.0
rome,moving_outage,,0.9,10.8,12.0,162,125,12.031543624161074,38.31601098114108,0.0,0.0,0.0
rome,all_outage,,1.0,12.0,12.0,162,162,39.74752860308416,411.58643784786636,0.0,0.0,0.0
rome,moving_outage,,1.0,12.0,12.0,162,125,13.38255033557047,42.61302220100262,0.0,0.0,0.0
rome,all_outage,,1.1,13.200000000000001,12.0,162,162,43.734704020259585,452.77845825602964,0.0,0.0,0.0
rome,moving_outage,,1.1,13.200000000000001,12.0,162,125,14.733557046979866,46.91003342086416,0.0,0.0,0.0
rome,all_outage,,1.2,14.399999999999999,12.0,162,162,47.72187943743499,493.97047866419297,0.0,0.0,0.0
rome,moving_outage,,1.2,14.399999999999999,12.0,162,125,16.084563758389262,51.207044640725705,0.0,0.0,0.0
tdrive,all_outage,,0.1,0.5,5.0,1,1,53.613103448275865,53.613103448275865,0.0,0.0,0.0
tdrive,moving_outage,,0.1,0.5,5.0,1,1,1.2758620689655173,1.2758620689655173,0.0,0.0,0.0
tdrive,all_outage,,0.2,1.0,5.0,1,1,108.22620689655173,108.22620689655173,0.0,0.0,0.0
tdrive,moving_outage,,0.2,1.0,5.0,1,1,3.5517241379310347,3.5517241379310347,0.0,0.0,0.0
tdrive,all_outage,,0.3,1.5,5.0,1,1,162.8393103448276,162.8393103448276,0.0,0.0,0.0
tdrive,moving_outage,,0.3,1.5,5.0,1,1,5.827586206896552,5.827586206896552,0.0,0.0,0.0
tdrive,all_outage,,0.4,2.0,5.0,1,1,217.45241379310346,217.45241379310346,0.0,0.0,0.0
tdrive,moving_outage,,0.4,2.0,5.0,1,1,8.10344827586207,8.10344827586207,0.0,0.0,0.0
tdrive,all_outage,,0.5,2.5,5.0,1,1,272.0655172413793,272.0655172413793,0.0,0.0,0.0
tdrive,moving_outage,,0.5,2.5,5.0,1,1,10.379310344827585,10.379310344827585,0.0,0.0,0.0
tdrive,all_outage,,0.6,3.0,5.0,1,1,326.6786206896552,326.6786206896552,0.0,0.0,0.0
tdrive,moving_outage,,0.6,3.0,5.0,1,1,12.655172413793103,12.655172413793103,0.0,0.0,0.0
tdrive,all_outage,,0.7,3.5,5.0,1,1,381.29172413793106,381.29172413793106,0.0,0.0,0.0
tdrive,moving_outage,,0.7,3.5,5.0,1,1,14.931034482758621,14.931034482758621,0.0,0.0,0.0
tdrive,all_outage,,0.8,4.0,5.0,1,1,435.9048275862069,435.9048275862069,0.0,0.0,0.0
tdrive,moving_outage,,0.8,4.0,5.0,1,1,17.20689655172414,17.20689655172414,0.0,0.0,0.0
tdrive,all_outage,,0.9,4.5,5.0,1,1,490.5179310344828,490.5179310344828,0.0,0.0,0.0
tdrive,moving_outage,,0.9,4.5,5.0,1,1,19.482758620689655,19.482758620689655,0.0,0.0,0.0
tdrive,all_outage,,1.0,5.0,5.0,1,1,545.1310344827587,545.1310344827587,0.0,0.0,0.0
tdrive,moving_outage,,1.0,5.0,5.0,1,1,21.75862068965517,21.75862068965517,0.0,0.0,0.0
tdrive,all_outage,,1.1,5.5,5.0,1,1,599.7441379310345,599.7441379310345,0.0,0.0,0.0
tdrive,moving_outage,,1.1,5.5,5.0,1,1,24.03448275862069,24.03448275862069,0.0,0.0,0.0
tdrive,all_outage,,1.2,6.0,5.0,1,1,654.3572413793104,654.3572413793104,0.0,0.0,0.0
tdrive,moving_outage,,1.2,6.0,5.0,1,1,26.310344827586206,26.310344827586206,0.0,0.0,0.0
