penalty_scope,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
all_outages,1,187,164,80.0,595.2,4896.0,9.038021462061684,3.131989957716702,43.56073051948046,0.13567502562942044,0.0,0.49394161185906027,0.0046031873900726356,0.631923767289621,True
all_outages,2,187,164,80.0,595.2,4896.0,18.28070043080273,6.521066793289016,87.41626623376611,0.04013166294638411,0.0,0.25929986946495676,0.0046031873900726356,0.631923767289621,True
all_outages,3,187,164,80.0,595.2,4896.0,27.523379399543778,9.84371297426853,131.27180194805175,0.01039501215485874,0.0,0.07075517481863869,0.0046031873900726356,0.631923767289621,True
all_outages,4,187,164,80.0,595.2,4896.0,36.766058368284824,13.166359155248044,175.1273376623374,0.0009530109893566041,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,5,187,164,80.0,595.2,4896.0,46.00873733702588,16.489005336227557,218.98287337662305,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,6,187,164,80.0,595.2,4896.0,55.251416305766924,19.811651517207075,262.8384090909087,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,7,187,164,80.0,595.2,4896.0,64.49409527450797,23.134297698186586,306.69394480519435,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,8,187,164,80.0,595.2,4896.0,73.73677424324902,26.4569438791661,350.54948051948,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,9,187,164,80.0,595.2,4896.0,82.97945321199008,29.779590060145615,394.40501623376565,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,10,187,164,80.0,595.2,4896.0,92.22213218073111,33.10223624112513,438.26055194805133,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,11,187,164,80.0,595.2,4896.0,101.46481114947215,36.424882422104645,482.11608766233695,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,12,187,164,80.0,595.2,4896.0,110.70749011821322,39.74752860308416,525.9716233766226,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,13,187,164,80.0,595.2,4896.0,119.95016908695426,43.07017478406367,569.8271590909083,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
all_outages,14,187,164,80.0,595.2,4896.0,129.1928480556953,46.392820965043185,613.6826948051939,0.0,0.0,0.0,0.0046031873900726356,0.631923767289621,True
