penalty_scope,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
moving_only,1,187,127,80.0,595.2,4896.0,1.3674116245774692,0.9982876712328768,3.458037882467218,0.13567502562942044,0.0,0.49394161185906027,0.010680576254346746,0.0,True
moving_only,2,187,127,80.0,595.2,4896.0,2.9465379179631315,2.1210053859964093,7.320994200497102,0.04013166294638411,0.0,0.25929986946495676,0.010680576254346746,0.0,True
moving_only,3,187,127,80.0,595.2,4896.0,4.525664211348794,3.25,11.175892709196358,0.01039501215485874,0.0,0.07075517481863869,0.010680576254346746,0.0,True
moving_only,4,187,127,80.0,595.2,4896.0,6.1047905047344555,4.375838926174497,15.030791217895613,0.0009530109893566041,0.0,0.0,0.010680576254346746,0.0,True
moving_only,5,187,127,80.0,595.2,4896.0,7.683916798120118,5.501677852348993,18.88568972659487,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,6,187,127,80.0,595.2,4896.0,9.26304309150578,6.62751677852349,22.740588235294123,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,7,187,127,80.0,595.2,4896.0,10.842169384891442,7.753355704697986,26.59548674399338,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,8,187,127,80.0,595.2,4896.0,12.421295678277106,8.879194630872483,30.450385252692634,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,9,187,127,80.0,595.2,4896.0,14.000421971662767,10.00503355704698,34.30528376139189,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,10,187,127,80.0,595.2,4896.0,15.57954826504843,11.130872483221477,38.16018227009115,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,11,187,127,80.0,595.2,4896.0,17.158674558434093,12.256711409395972,42.0150807787904,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,12,187,127,80.0,595.2,4896.0,18.737800851819756,13.38255033557047,45.869979287489656,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,13,187,127,80.0,595.2,4896.0,20.316927145205415,14.508389261744966,49.72487779618891,0.0,0.0,0.0,0.010680576254346746,0.0,True
moving_only,14,187,127,80.0,595.2,4896.0,21.89605343859108,15.634228187919463,53.57977630488817,0.0,0.0,0.0,0.010680576254346746,0.0,True
