target,mutation,n_seeds,avg_reject_rate,std_reject_rate,ci95_reject_rate,total_attempts,total_rejected
cap_policy_sq,inconsistency,1,1.000000,0.000000,0.000000,1,1
cap_policy_vs_tier_anchor,cap_policy_gt_tier_anchor,1,1.000000,0.000000,0.000000,1,1
hash_anchor,bitflip,1,1.000000,0.000000,0.000000,1,1
hash_anchor,replacement,1,1.000000,0.000000,0.000000,1,1
mode_tag,bitflip,1,1.000000,0.000000,0.000000,1,1
mode_tag,replacement,1,1.000000,0.000000,0.000000,1,1
modeset_commitment,bitflip,1,1.000000,0.000000,0.000000,1,1
modeset_commitment,replacement,1,1.000000,0.000000,0.000000,1,1
tier_anchor_cap_sq,inconsistency,1,1.000000,0.000000,0.000000,1,1
tier_vmax_sq,bitflip,1,1.000000,0.000000,0.000000,1,1
tier_vmax_sq,replacement,1,1.000000,0.000000,0.000000,1,1
