baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A2a,1,50,3,0.0,0.0,0.352112676056338,0.38496753109840315,0.9068206634347834,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,2,50,3,0.0,0.0,0.2972972972972973,0.3847076812334269,0.9158802964494039,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,3,50,3,0.0,0.0,0.22077922077922077,0.39115214431215894,0.8951179548382691,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,4,50,3,0.0,0.0,0.2727272727272727,0.3916631205513228,0.891224333176986,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,5,50,3,0.0,0.0,0.2972972972972973,0.387556447501522,0.9000928346966411,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,6,50,3,0.0,0.0,0.373134328358209,0.382099463490856,0.9097859321094462,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,7,50,3,0.0,0.0,0.32432432432432434,0.3888444419044716,0.8980340754145145,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,8,50,3,0.0,0.0,0.24675324675324675,0.3872983346207417,0.9009993440870113,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,9,50,3,0.0,0.0,0.24324324324324326,0.3906404996924922,0.8879696368096002,2.57887754,0.95352374,167376
prio3,1.0,0.1,A2a,10,50,3,0.0,0.0,0.2727272727272727,0.39319206502674997,0.884764088541888,2.57887754,0.95352374,167376
rofl,1.0,0.1,A2a,1,50,3,0.0,0.0,0.352112676056338,0.38496753109840315,0.9068206634347834,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,2,50,3,0.0,0.0,0.2972972972972973,0.3847076812334269,0.9158802964494039,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,3,50,3,0.0,0.0,0.22077922077922077,0.39115214431215894,0.8951179548382691,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,4,50,3,0.0,0.0,0.2727272727272727,0.3916631205513228,0.891224333176986,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,5,50,3,0.0,0.0,0.2972972972972973,0.387556447501522,0.9000928346966411,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,6,50,3,0.0,0.0,0.373134328358209,0.382099463490856,0.9097859321094462,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,7,50,3,0.0,0.0,0.32432432432432434,0.3888444419044716,0.8980340754145145,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,8,50,3,0.0,0.0,0.24675324675324675,0.3872983346207417,0.9009993440870113,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,9,50,3,0.0,0.0,0.24324324324324326,0.3906404996924922,0.8879696368096002,3.0386312400000004,0.48230997,608
rofl,1.0,0.1,A2a,10,50,3,0.0,0.0,0.2727272727272727,0.39319206502674997,0.884764088541888,3.0386312400000004,0.48230997,608
corgi,1.0,0.1,A2a,1,50,3,0.0,0.0,0.02040816326530612,0.4256759330758553,0.9811162072922441,0.0,0.0,0
corgi,1.0,0.1,A2a,2,50,3,0.0,0.0,0.06382978723404255,0.4207136793592526,0.9871122754380218,0.0,0.0,0
corgi,1.0,0.1,A2a,3,50,3,0.0,0.0,0.010309278350515464,0.4270831300812525,0.9799694183045722,0.0,0.0,0
corgi,1.0,0.1,A2a,4,50,3,0.0,0.0,0.010101010101010102,0.4270831300812525,0.9817605934896434,0.0,0.0,0
corgi,1.0,0.1,A2a,5,50,3,0.0,0.0,0.02040816326530612,0.4266145801540308,0.9813783304946444,0.0,0.0,0
corgi,1.0,0.1,A2a,6,50,3,0.0,0.0,0.05263157894736842,0.42142615011410955,0.9789591518147908,0.0,0.0,0
corgi,1.0,0.1,A2a,7,50,3,0.0,0.0,0.020833333333333332,0.425205832509386,0.9776758403261063,0.0,0.0,0
corgi,1.0,0.1,A2a,8,50,3,0.0,0.0,0.05263157894736842,0.42166337284616034,0.9795052418072404,0.0,0.0,0
corgi,1.0,0.1,A2a,9,50,3,0.0,0.0,0.041666666666666664,0.4240283009422838,0.9695281775996712,0.0,0.0,0
corgi,1.0,0.1,A2a,10,50,3,0.0,0.0,0.030927835051546393,0.4268489194082609,0.9740061155620976,0.0,0.0,0
