baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A2a,10,50,0.0,0.0,0.2900396179563723,0.38821217294321453,0.8990689159558544,0.04636661749388356,0.0033628527633087642,2.57887754,0.95352374,167376
rofl,1.0,0.1,A2a,10,50,0.0,0.0,0.2900396179563723,0.38821217294321453,0.8990689159558544,0.04636661749388356,0.0033628527633087642,3.0386312400000004,0.48230997,608
corgi,1.0,0.1,A2a,10,50,0.0,0.0,0.03237473951624636,0.4246343028571844,0.9791011352129031,0.01816903438997709,0.0023893172650335864,0.0,0.0,0
