baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A6,1,50,3,1.0,0.0,0.34328358208955223,0.3861346915261565,0.9152304493612614,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,2,50,3,1.0,0.0,0.3055555555555556,0.3871692136521188,0.9202763209125077,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,3,50,3,1.0,0.0,0.21621621621621623,0.3925557285278104,0.9004696367932895,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,4,50,3,1.0,0.0,0.2602739726027397,0.39230090491866065,0.9026922230749216,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,5,50,3,1.0,0.0,0.29577464788732394,0.38974350539810154,0.9064820876405596,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,6,50,3,1.0,0.0,0.38461538461538464,0.3850973902793941,0.9156837040574897,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,7,50,3,1.0,0.0,0.323943661971831,0.3905124837953327,0.9056793353474911,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,8,50,3,1.0,0.0,0.24324324324324326,0.3894868418830089,0.9077708600276487,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,9,50,3,1.0,0.0,0.2571428571428571,0.39230090491866065,0.8948503707493939,2.5306436899999993,0.9656837000000001,167376
prio3,1.0,0.1,A6,10,50,3,1.0,0.0,0.2702702702702703,0.3940812099047606,0.8859108775324269,2.5306436899999993,0.9656837000000001,167376
rofl,1.0,0.1,A6,1,50,3,1.0,0.0,0.34328358208955223,0.3861346915261565,0.9152304493612614,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,2,50,3,1.0,0.0,0.3055555555555556,0.3871692136521188,0.9202763209125077,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,3,50,3,1.0,0.0,0.21621621621621623,0.3925557285278104,0.9004696367932895,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,4,50,3,1.0,0.0,0.2602739726027397,0.39230090491866065,0.9026922230749216,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,5,50,3,1.0,0.0,0.29577464788732394,0.38974350539810154,0.9064820876405596,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,6,50,3,1.0,0.0,0.38461538461538464,0.3850973902793941,0.9156837040574897,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,7,50,3,1.0,0.0,0.323943661971831,0.3905124837953327,0.9056793353474911,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,8,50,3,1.0,0.0,0.24324324324324326,0.3894868418830089,0.9077708600276487,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,9,50,3,1.0,0.0,0.2571428571428571,0.39230090491866065,0.8948503707493939,3.7977011899999993,0.5520103900000001,608
rofl,1.0,0.1,A6,10,50,3,1.0,0.0,0.2702702702702703,0.3940812099047606,0.8859108775324269,3.7977011899999993,0.5520103900000001,608
corgi,1.0,0.1,A6,1,50,3,0.0,0.0,0.02040816326530612,0.4270831300812525,0.9946865436749293,0.0,0.0,0
corgi,1.0,0.1,A6,2,50,3,0.0,0.0,0.05263157894736842,0.4240283009422838,0.9892147219229143,0.0,0.0,0
corgi,1.0,0.1,A6,3,50,3,0.0,0.0,0.02040816326530612,0.4282522621072771,0.9864678892495583,0.0,0.0,0
corgi,1.0,0.1,A6,4,50,3,0.0,0.0,0.010309278350515464,0.42801869118065394,0.9886413274288633,0.0,0.0,0
corgi,1.0,0.1,A6,5,50,3,0.0,0.0,0.0,0.4291852746774987,0.9831804274798475,0.0,0.0,0
corgi,1.0,0.1,A6,6,50,3,0.0,0.0,0.041666666666666664,0.4240283009422838,0.9837101347722951,0.0,0.0,0
corgi,1.0,0.1,A6,7,50,3,0.0,0.0,0.010101010101010102,0.4270831300812525,0.9824159014837973,0.0,0.0,0
corgi,1.0,0.1,A6,8,50,3,0.0,0.0,0.041666666666666664,0.4244997055358225,0.9786314978177046,0.0,0.0,0
corgi,1.0,0.1,A6,9,50,3,0.0,0.0,0.02040816326530612,0.4261455150532503,0.9832896454763914,0.0,0.0,0
corgi,1.0,0.1,A6,10,50,3,0.0,0.0,0.010101010101010102,0.42871902220452035,0.9789755345178508,0.0,0.0,0
