mode,malicious_rate,round_idx,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,cells_kept_post,dump_file
full,0.1,1,1.0,0.0455,1.0,2.2815090069933324,0.9896334141019115,2,full_mal0.1_r1.json
full,0.1,2,1.0,0.0455,1.0,2.371857855227749,0.9235253467905099,4,full_mal0.1_r2.json
full,0.1,3,1.0,0.0455,0.5,2.1936126934553157,0.9783641261002619,3,full_mal0.1_r3.json
full,0.1,4,1.0,0.0455,0.3333333333333333,2.434903716514865,0.9936949433589961,2,full_mal0.1_r4.json
full,0.1,5,1.0,0.0682,0.3333333333333333,2.5415988246211954,0.9878583407610892,2,full_mal0.1_r5.json
full,0.1,6,1.0,0.1136,1.0,2.4233485752337676,0.9936942945880569,2,full_mal0.1_r6.json
full,0.1,7,1.0,0.1136,1.0,2.30930351208181,0.9867597020580918,2,full_mal0.1_r7.json
full,0.1,8,1.0,0.1591,0.5,2.447681272441815,0.9776905727460622,3,full_mal0.1_r8.json
full,0.1,9,1.0,0.1818,0.3333333333333333,2.3849820850526853,0.9885483633056227,2,full_mal0.1_r9.json
full,0.1,10,1.0,0.25,0.5,2.1463705009177354,0.9662204058381393,3,full_mal0.1_r10.json
