baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A6,10,50,1.0,0.0,0.2900319391594974,0.3899382874804005,0.9055045865496989,0.04816785941752323,0.0028516586143062803,2.5306436899999993,0.9656837000000001,167376
rofl,1.0,0.1,A6,10,50,1.0,0.0,0.2900319391594974,0.3899382874804005,0.9055045865496989,0.04816785941752323,0.0028516586143062803,3.7977011899999993,0.5520103900000001,608
corgi,1.0,0.1,A6,10,50,0.0,0.0,0.02277007006291558,0.4267043332806096,0.9849213623824152,0.01617827503732845,0.0018471490331038148,0.0,0.0,0
