epsilon,mode,malicious_rate,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,std_jaccard,avg_rmse,std_rmse,avg_cells_kept_post,source_summary_csv
0.1,commit_only,0.1,0.0,0.01135,0.38516194331983805,0.02752218412642766,5.8367677754156135,0.1507154963031753,121.4,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,eiffel,0.1,0.0,0.0,0.3541502913004838,0.032442572704144176,5.868136798461051,0.16817142288327724,117.4,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,full,0.1,1.0,0.01135,0.3180150592459158,0.03527163495535882,5.128711912644915,0.14684496250895906,105.1,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,ldp,0.1,0.0,0.0,0.36401500938086306,0.02260773201044621,5.882222296616132,0.180304341157165,118.3,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,nebula,0.1,0.0,0.0,0.38736727346483446,0.06197831468161417,5.77662040451615,0.1449065359793939,121.0,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,no_integ,0.1,0.0,0.0,0.3678275896119285,0.03166973850896442,5.852086557621813,0.1161071927635122,118.2,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.1,risefl,0.1,0.0,0.06366,0.3470450281425891,0.023583170639994527,5.371087665274987,0.20687336533910405,112.2,utility_sweep_20260415_134904_with_jaccard_summary.csv
0.5,commit_only,0.1,0.0,0.01135,0.44409672830725466,0.018815426189230693,5.626203122621163,0.06237729514381308,142.3,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,eiffel,0.1,0.0,0.0,0.432574679943101,0.017600219596558726,5.665444928458166,0.012389069934581944,143.6,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,full,0.1,1.0,0.01135,0.3888056680161943,0.029546203938165483,4.929703274480644,0.0495575128575149,127.6,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,ldp,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.665031342156551,0.02040931242862147,141.8,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,nebula,0.1,0.0,0.0,0.42912791333843964,0.02811330981757318,5.666558583301441,0.02067724387585819,143.2,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,no_integ,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.670350615480173,0.021018126934088832,142.6,utility_sweep_20260415_144436_with_jaccard_summary.csv
0.5,risefl,0.1,0.0,0.061380000000000004,0.44025604551920344,0.01920341394025607,5.2371515464003355,0.20580166634280028,134.4,utility_sweep_20260415_144436_with_jaccard_summary.csv
1.0,commit_only,0.1,0.0,0.01135,0.4479374110953058,0.017600219596558726,5.613623771057743,0.041424291602953266,149.9,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,eiffel,0.1,0.0,0.0,0.44409672830725466,0.018815426189230693,5.656299654926082,0.011198956741226689,150.7,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,full,0.1,1.0,0.01135,0.40647773279352223,0.01785053253850087,4.914343290227748,0.03845639596021572,137.3,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,ldp,0.1,0.0,0.0,0.4517780938833571,0.015362731152204856,5.654361997493533,0.016404359733575888,150.9,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,nebula,0.1,0.0,0.0,0.44429368639894956,0.025003595080954188,5.651156924657369,0.016585654594091337,152.8,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,no_integ,0.1,0.0,0.0,0.4517780938833571,0.015362731152204856,5.659592265508186,0.012364240532437613,149.4,utility_sweep_20260415_154009_with_jaccard_summary.csv
1.0,risefl,0.1,0.0,0.06365,0.45561877667140827,0.011522048364153641,5.154095529271003,0.1705496713702403,145.2,utility_sweep_20260415_154009_with_jaccard_summary.csv
2.0,commit_only,0.1,0.0,0.01135,0.44409672830725466,0.018815426189230693,5.6083003504925575,0.041107474474435066,159.0,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,eiffel,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.652688523670939,0.006253638358572311,157.5,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,full,0.1,1.0,0.01135,0.4141590983696247,0.027902782513113036,4.912469489101217,0.040962195448580346,143.2,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,ldp,0.1,0.0,0.0,0.432574679943101,0.017600219596558726,5.657140206788637,0.009712118337641932,156.2,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,nebula,0.1,0.0,0.0,0.4517780938833571,0.015362731152204856,5.655068675582701,0.007301358725383055,157.2,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,no_integ,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.650901650895935,0.007091091241860729,158.3,utility_sweep_20260415_163546_with_jaccard_summary.csv
2.0,risefl,0.1,0.0,0.05911999999999999,0.44409672830725466,0.018815426189230693,5.218566956186463,0.14994412303704072,154.8,utility_sweep_20260415_163546_with_jaccard_summary.csv
5.0,commit_only,0.1,0.0,0.01135,0.44409672830725466,0.018815426189230693,5.610321110827657,0.044777205235628316,160.8,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,eiffel,0.1,0.0,0.0,0.44409672830725466,0.018815426189230693,5.654227438150696,0.0043552381369046335,161.8,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,full,0.1,1.0,0.01135,0.39919028340080975,0.01785053253850087,4.9119225864115545,0.04180789463056422,146.9,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,ldp,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.652226210346218,0.0026784129315372066,162.5,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,nebula,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.652116574681222,0.0034274703301251084,162.6,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,no_integ,0.1,0.0,0.0,0.44409672830725466,0.018815426189230693,5.654679461067579,0.004740206838507863,163.0,utility_sweep_20260415_173121_with_jaccard_summary.csv
5.0,risefl,0.1,0.0,0.05684,0.4479374110953058,0.017600219596558726,5.22144068247688,0.17419971495176653,158.2,utility_sweep_20260415_173121_with_jaccard_summary.csv
