mode,malicious_rate,round_idx,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,cells_kept_post,dump_file
full,0.1,1,1.0,0.0455,0.42105263157894735,4.641639206081052,4.972224542308907,138,full_mal0.1_r1.json
full,0.1,2,1.0,0.0455,0.38461538461538464,4.6770315959119095,5.125067802653825,135,full_mal0.1_r2.json
full,0.1,3,1.0,0.0455,0.42105263157894735,4.6891504146683705,5.282638361111655,136,full_mal0.1_r3.json
full,0.1,4,1.0,0.0455,0.38461538461538464,4.664610480818673,5.132542135482147,134,full_mal0.1_r4.json
full,0.1,5,1.0,0.0682,0.42105263157894735,4.494249519264882,5.194040724992952,135,full_mal0.1_r5.json
full,0.1,6,1.0,0.1136,0.38461538461538464,4.329153425563103,5.024343009797569,132,full_mal0.1_r6.json
full,0.1,7,1.0,0.1136,0.38461538461538464,4.333359796289303,5.088903643592534,134,full_mal0.1_r7.json
full,0.1,8,1.0,0.1818,0.38461538461538464,3.8241864408290454,4.921237249034605,134,full_mal0.1_r8.json
full,0.1,9,1.0,0.2045,0.38461538461538464,3.5639459323743594,4.3569512680467275,133,full_mal0.1_r9.json
full,0.1,10,1.0,0.2727,0.42105263157894735,3.374684764091214,4.115984098585843,90,full_mal0.1_r10.json
no_integ,0.1,1,0.0,0.0,0.38461538461538464,5.639549483749722,7.0091820846599715,152,no_integ_mal0.1_r1.json
no_integ,0.1,2,0.0,0.0,0.4594594594594595,5.696279217520504,7.034994964790064,155,no_integ_mal0.1_r2.json
no_integ,0.1,3,0.0,0.0,0.4594594594594595,5.653935004227473,6.62052287042676,152,no_integ_mal0.1_r3.json
no_integ,0.1,4,0.0,0.0,0.4594594594594595,5.654264100804829,7.2737928484080845,153,no_integ_mal0.1_r4.json
no_integ,0.1,5,0.0,0.0,0.42105263157894735,5.670070639499467,7.24961232147539,151,no_integ_mal0.1_r5.json
no_integ,0.1,6,0.0,0.0,0.42105263157894735,5.648930743894168,6.755673437101284,149,no_integ_mal0.1_r6.json
no_integ,0.1,7,0.0,0.0,0.42105263157894735,5.657737706176651,6.648945192244635,150,no_integ_mal0.1_r7.json
no_integ,0.1,8,0.0,0.0,0.42105263157894735,5.661374173092306,6.602771282790467,155,no_integ_mal0.1_r8.json
no_integ,0.1,9,0.0,0.0,0.42105263157894735,5.664802715208681,7.393132814359921,148,no_integ_mal0.1_r9.json
no_integ,0.1,10,0.0,0.0,0.42105263157894735,5.649026657247965,6.523447336961387,148,no_integ_mal0.1_r10.json
