branch,dataset,len_claimed_fixes,savings_ratio,skip_reason
no_cadence,tdrive:tdrive_54:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_55:p0,25,0.0,
no_odometer,tdrive:tdrive_55:p0,25,1.0,
no_continuity,tdrive:tdrive_55:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_55:p0,25,0.9759053655917472,
no_cadence,tdrive:tdrive_55:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_56:p0,25,0.0,
no_odometer,tdrive:tdrive_56:p0,25,1.0,
no_continuity,tdrive:tdrive_56:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_56:p0,25,0.978046398351271,
no_cadence,tdrive:tdrive_56:p0,0,0.0,no feasible adversarial claim under enabled constraints
