baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse
nebula,1.0,0.0,random,3,20,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,0.0,0.0
nebula,1.0,0.1,random,3,20,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,0.0,0.0
ldp,1.0,0.0,random,3,20,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,0.0,3.2818563180946156e-14
ldp,1.0,0.1,random,3,20,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,0.0,3.2818563180946156e-14
eiffel,1.0,0.0,random,3,20,0.0,0.0,0.3496477567667779,0.06879578814558762,0.6666666660748298,0.04194923433068134,0.0006876530816909113
eiffel,1.0,0.1,random,3,20,0.0,0.0,0.31899641577060933,0.07116802777377156,0.6802721082414965,0.0202754632598293,0.0013336001868428547
