baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,prover_ms,verifier_ms,proof_bytes
nebula,1.0,0.0,A1,1,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
nebula,1.0,0.0,A1,2,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
nebula,1.0,0.0,A1,3,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
nebula,1.0,0.1,A1,1,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
nebula,1.0,0.1,A1,2,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
nebula,1.0,0.1,A1,3,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,,,
ldp,1.0,0.0,A1,1,20,0,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,,,
ldp,1.0,0.0,A1,2,20,0,0.0,0.0,0.0,259.7920969265048,0.9999999991122447,,,
ldp,1.0,0.0,A1,3,20,0,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,,,
ldp,1.0,0.1,A1,1,20,1,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,,,
ldp,1.0,0.1,A1,2,20,1,0.0,0.0,0.0,259.7920969265048,0.9999999991122447,,,
ldp,1.0,0.1,A1,3,20,1,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,,,
eiffel,1.0,0.0,A1,1,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357143,,,
eiffel,1.0,0.0,A1,2,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357141,,,
eiffel,1.0,0.0,A1,3,20,0,0.0,0.0,0.2903225806451613,0.06782329983125268,0.6734693871530613,,,
eiffel,1.0,0.1,A1,1,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,,,
eiffel,1.0,0.1,A1,2,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,,,
eiffel,1.0,0.1,A1,3,20,1,0.0,0.0,0.2903225806451613,0.06928203230275509,0.6938775503979591,,,
risefl,1.0,0.0,A1,1,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357143,,,
risefl,1.0,0.0,A1,2,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357141,,,
risefl,1.0,0.0,A1,3,20,0,0.0,0.0,0.2903225806451613,0.06782329983125268,0.6734693871530613,,,
risefl,1.0,0.1,A1,1,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,,,
risefl,1.0,0.1,A1,2,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,,,
risefl,1.0,0.1,A1,3,20,1,0.0,0.0,0.2903225806451613,0.06928203230275509,0.6938775503979591,,,
prio3,1.0,0.0,A1,1,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357143,2.33593209,0.9195729099999995,167376
prio3,1.0,0.0,A1,2,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357141,2.33593209,0.9195729099999995,167376
prio3,1.0,0.0,A1,3,20,0,0.0,0.0,0.2903225806451613,0.06782329983125268,0.6734693871530613,2.33593209,0.9195729099999995,167376
prio3,1.0,0.1,A1,1,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,2.33593209,0.9195729099999995,167376
prio3,1.0,0.1,A1,2,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,2.33593209,0.9195729099999995,167376
prio3,1.0,0.1,A1,3,20,1,0.0,0.0,0.2903225806451613,0.06928203230275509,0.6938775503979591,2.33593209,0.9195729099999995,167376
rofl,1.0,0.0,A1,1,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357143,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.0,A1,2,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357141,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.0,A1,3,20,0,0.0,0.0,0.2903225806451613,0.06782329983125268,0.6734693871530613,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.1,A1,1,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.1,A1,2,20,1,1.0,0.0,0.3103448275862069,0.07141428428542851,0.6734693871632652,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.1,A1,3,20,1,1.0,0.0,0.3103448275862069,0.06855654600401044,0.6938775503979591,2.7331738100000007,0.43658957999999987,608
corgi,1.0,0.0,A1,1,20,0,0.0,0.0,0.02564102564102564,0.09899494936611665,0.989795917484694,0.0,0.0,0
corgi,1.0,0.0,A1,2,20,0,0.0,0.0,0.05263157894736842,0.09695359714832658,0.9795918358571428,0.0,0.0,0
corgi,1.0,0.0,A1,3,20,0,0.0,0.0,0.0,0.10099504938362078,0.9999999991122447,0.0,0.0,0
corgi,1.0,0.1,A1,1,20,1,0.0,0.0,0.0,0.1,0.9795918358673469,0.0,0.0,0
corgi,1.0,0.1,A1,2,20,1,0.0,0.0,0.0,0.09797958971132711,0.938775509377551,0.0,0.0,0
corgi,1.0,0.1,A1,3,20,1,0.0,0.0,0.0,0.1,0.9795918358673469,0.0,0.0,0
