baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A1,1,50,3,0.0,0.0,0.352112676056338,0.3865229618017538,0.9152304493612614,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,2,50,3,0.0,0.0,0.3157894736842105,0.387556447501522,0.9202763209125077,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,3,50,3,0.0,0.0,0.21518987341772153,0.39293765408777004,0.9004696367932895,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,4,50,3,0.0,0.0,0.2727272727272727,0.39268307832143723,0.9026922230749216,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,5,50,3,0.0,0.0,0.2727272727272727,0.3901281840626232,0.9064820876405596,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,6,50,3,0.0,0.0,0.352112676056338,0.38548670534792767,0.9156837040574897,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,7,50,3,0.0,0.0,0.3157894736842105,0.39089640571384127,0.9056793353474911,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,8,50,3,0.0,0.0,0.24050632911392406,0.38987177379235854,0.9077708600276487,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,9,50,3,0.0,0.0,0.23684210526315788,0.39268307832143723,0.8948503707493939,2.1898899400000005,0.8109846399999998,167376
prio3,1.0,0.1,A1,10,50,3,0.0,0.0,0.26582278481012656,0.39446165846632036,0.8859108775324269,2.1898899400000005,0.8109846399999998,167376
rofl,1.0,0.1,A1,1,50,3,0.0,0.0,0.352112676056338,0.3865229618017538,0.9152304493612614,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,2,50,3,1.0,0.0,0.3055555555555556,0.3871692136521188,0.9202763209125077,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,3,50,3,1.0,0.0,0.21621621621621623,0.3925557285278104,0.9004696367932895,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,4,50,3,1.0,0.0,0.2602739726027397,0.39230090491866065,0.9026922230749216,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,5,50,3,1.0,0.0,0.29577464788732394,0.38974350539810154,0.9064820876405596,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,6,50,3,1.0,0.0,0.38461538461538464,0.3850973902793941,0.9156837040574897,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,7,50,3,1.0,0.0,0.323943661971831,0.3905124837953327,0.9056793353474911,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,8,50,3,1.0,0.0,0.24324324324324326,0.3894868418830089,0.9077708600276487,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,9,50,3,1.0,0.0,0.2571428571428571,0.39230090491866065,0.8948503707493939,2.654077939999999,0.4117662800000002,608
rofl,1.0,0.1,A1,10,50,3,1.0,0.0,0.2702702702702703,0.3940812099047606,0.8859108775324269,2.654077939999999,0.4117662800000002,608
corgi,1.0,0.1,A1,1,50,3,0.0,0.0,0.010101010101010102,0.4289522117905443,0.9952599381702705,0.0,0.0,0
corgi,1.0,0.1,A1,2,50,3,0.0,0.0,0.0425531914893617,0.42638011210655685,0.9943752723769711,0.0,0.0,0
corgi,1.0,0.1,A1,3,50,3,0.0,0.0,0.010101010101010102,0.4291852746774987,0.9944954121770239,0.0,0.0,0
corgi,1.0,0.1,A1,4,50,3,0.0,0.0,0.0,0.42871902220452035,0.9877675834362694,0.0,0.0,0
corgi,1.0,0.1,A1,5,50,3,0.0,0.0,0.010101010101010102,0.4270831300812525,0.9849006109627172,0.0,0.0,0
corgi,1.0,0.1,A1,6,50,3,0.0,0.0,0.030927835051546393,0.4244997055358225,0.9825633457823296,0.0,0.0,0
corgi,1.0,0.1,A1,7,50,3,0.0,0.0,0.02040816326530612,0.4270831300812525,0.9853211002590828,0.0,0.0,0
corgi,1.0,0.1,A1,8,50,3,0.0,0.0,0.041666666666666664,0.4240283009422838,0.9816896017891623,0.0,0.0,0
corgi,1.0,0.1,A1,9,50,3,0.0,0.0,0.02040816326530612,0.4259107887809371,0.9787024895176759,0.0,0.0,0
corgi,1.0,0.1,A1,10,50,3,0.0,0.0,0.02040816326530612,0.4270831300812525,0.9783202265231867,0.0,0.0,0
