branch,dataset,len_claimed_fixes,savings_ratio,skip_reason
no_zone_binding,tdrive:300:5860-0-s515:p0,25,0.0034145767102319556,
no_continuity,tdrive:300:5860-0-s515:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:300:5860-0-s515:p0,25,0.9918364143019742,
no_cadence,tdrive:300:5860-0-s515:p0,0,0.0,no feasible adversarial claim under enabled constraints
