dataset,task,feature_set,runs,users,rounds,auc_mean,auc_std,accuracy_mean,accuracy_std,f1_mean,f1_std
T-Drive,session linkability,timing+chain,3,1000,17,0.7434222222222222,0.013783190021199498,0.7416666666666667,0.010408329997330672,0.7941858910076681,0.006974239549428808
T-Drive,active-period inference,full,3,1000,17,0.9986837205248479,0.0022498818903523843,0.9988888888888888,0.00027492869961413216,0.9908083798290618,0.0023089509835614312
GeoLife,session linkability,timing+chain,3,1000,18,0.7490777777777778,0.006369858129706899,0.741111111111111,0.007515416254704833,0.7934581979766703,0.004787526728784316
GeoLife,active-period inference,full,3,1000,18,0.9998417272953236,1.5238729119859053e-05,0.9996296296296295,0.00025660011963984816,0.9971703452178834,0.001960442340202483
Porto,session linkability,timing+chain,3,1000,11,0.7268481481481482,0.026082921741713717,0.6738888888888889,0.032885885748775004,0.7382204586969978,0.028903859753740605
Porto,active-period inference,full,3,1000,11,0.9990825357741806,0.0006833688706309679,0.9955555555555554,0.00037037037037035425,0.9798501375326832,0.0015452177770385945
Rome,session linkability,timing+chain,3,1000,8,0.7315907407407408,0.023347148247178307,0.7161111111111111,0.0019245008972987971,0.7783091989743816,0.001170708707444102
Rome,active-period inference,full,3,1000,8,0.9998936170212765,0.0001486698175980851,0.9980952380952383,1.3597399555105182e-16,0.9908396520184882,2.4186262376476674e-05
